review_number,type_of_revisions,clone_exists
11287,unica,no_clone
12027,unica,no_clone
12050,multipla,no_clone
12051,unica,no_clone
12096,unica,no_clone
12144,unica,no_clone
12148,unica,no_clone
12149,unica,no_clone
12150,unica,uninteresting_clone
12151,unica,no_clone
12159,multipla,no_clone
12160,multipla,no_clone
12285,multipla,no_clone
12384,unica,no_clone
12554,unica,no_clone
12557,unica,no_clone
12561,unica,no_clone
12576,multipla,no_clone
12577,multipla,no_clone
12578,multipla,no_clone
12580,unica,no_clone
12582,unica,no_clone
12583,unica,no_clone
12674,multipla,no_clone
12687,multipla,no_clone
12688,multipla,no_clone
12689,multipla,no_clone
12690,unica,no_clone
12841,multipla,no_clone
12907,multipla,review with at least one clone
13046,multipla,no_clone
13082,unica,no_clone
13083,multipla,no_clone
13085,multipla,no_clone
13372,multipla,no_clone
13373,multipla,no_clone
13374,unica,no_clone
13375,unica,no_clone
13394,unica,no_clone
13688,multipla,no_clone
13846,multipla,no_clone
13847,multipla,no_clone
13848,multipla,no_clone
13849,multipla,no_clone
14157,unica,no_clone
14178,unica,no_clone
14485,multipla,no_clone
14513,multipla,no_clone
14527,unica,no_clone
14562,unica,no_clone
14574,multipla,no_clone
14586,unica,no_clone
14959,multipla,review with at least one clone
15435,unica,no_clone
15436,unica,no_clone
15462,unica,no_clone
15953,unica,no_clone
15954,unica,no_clone
15955,unica,no_clone
15956,multipla,no_clone
15957,multipla,no_clone
15958,unica,no_clone
16337,multipla,no_clone
16338,multipla,no_clone
16702,unica,no_clone
16703,multipla,no_clone
16765,unica,no_clone
17742,unica,no_clone
18094,multipla,no_clone
18194,multipla,no_clone
18197,multipla,no_clone
18654,unica,no_clone
18655,unica,no_clone
18755,unica,no_clone
18757,unica,no_clone
18758,unica,no_clone
18807,multipla,no_clone
18808,multipla,no_clone
19008,multipla,no_clone
19012,multipla,no_clone
19017,unica,no_clone
19018,unica,no_clone
19051,unica,no_clone
19067,unica,no_clone
19068,multipla,no_clone
19373,multipla,no_clone
19584,unica,review with at least one clone
19602,unica,no_clone
19603,unica,review with at least one clone
19604,unica,no_clone
19605,unica,no_clone
19606,multipla,review with at least one clone
19673,multipla,no_clone
19674,multipla,no_clone
19675,multipla,no_clone
19676,multipla,no_clone
19677,multipla,no_clone
19690,multipla,no_clone
19691,multipla,no_clone
19692,multipla,no_clone
19693,unica,no_clone
19694,multipla,no_clone
19758,multipla,no_clone
19778,multipla,no_clone
19838,multipla,no_clone
19839,multipla,no_clone
19840,multipla,uninteresting_clone
19860,unica,no_clone
19861,unica,no_clone
19862,unica,no_clone
19920,multipla,no_clone
19997,multipla,no_clone
19998,multipla,no_clone
20008,multipla,no_clone
20010,multipla,no_clone
20329,multipla,no_clone
20398,multipla,no_clone
20399,multipla,no_clone
20654,multipla,no_clone
20711,multipla,no_clone
20712,multipla,no_clone
20760,multipla,no_clone
20779,multipla,no_clone
20780,multipla,no_clone
20817,unica,no_clone
20847,multipla,no_clone
20878,multipla,uninteresting_clone
20889,multipla,no_clone
20895,multipla,no_clone
20898,multipla,uninteresting_clone
20902,unica,no_clone
20903,multipla,no_clone
20906,unica,review with at least one clone
20917,multipla,no_clone
20918,multipla,no_clone
21130,multipla,no_clone
21156,multipla,no_clone
21157,multipla,no_clone
21197,unica,no_clone
21202,multipla,no_clone
21217,multipla,no_clone
21219,multipla,no_clone
21261,unica,review with at least one clone
21292,unica,uninteresting_clone
21293,unica,no_clone
21294,unica,no_clone
21301,multipla,no_clone
21305,multipla,uninteresting_clone
21337,multipla,no_clone
21338,multipla,no_clone
21351,multipla,no_clone
21353,multipla,no_clone
21354,multipla,no_clone
21355,multipla,no_clone
21356,multipla,no_clone
21372,multipla,no_clone
21380,multipla,no_clone
21416,multipla,uninteresting_clone
21417,multipla,no_clone
21421,multipla,no_clone
21423,multipla,no_clone
21444,multipla,no_clone
21445,multipla,no_clone
21446,multipla,no_clone
21477,multipla,no_clone
21500,multipla,no_clone
21738,multipla,no_clone
21743,multipla,no_clone
21805,multipla,no_clone
21826,multipla,no_clone
21827,multipla,no_clone
21852,multipla,no_clone
21867,multipla,no_clone
21872,multipla,no_clone
21912,multipla,no_clone
21915,multipla,no_clone
21924,multipla,no_clone
22015,multipla,no_clone
22048,multipla,review with at least one clone
22057,multipla,no_clone
22058,multipla,no_clone
22109,multipla,no_clone
22206,multipla,no_clone
22308,multipla,review with at least one clone
22352,multipla,no_clone
22353,multipla,no_clone
22445,multipla,review with at least one clone
22505,multipla,no_clone
22513,multipla,no_clone
22563,multipla,review with at least one clone
22586,multipla,no_clone
22589,multipla,no_clone
22692,multipla,no_clone
22710,multipla,no_clone
22713,unica,no_clone
22737,multipla,no_clone
22755,multipla,no_clone
22845,multipla,no_clone
22872,multipla,no_clone
22874,multipla,no_clone
22877,multipla,no_clone
