review_number,type_of_revisions,clone_exists
36099,unica,review with at least one clone
36134,unica,no_clone
36204,unica,no_clone
36211,unica,no_clone
36214,unica,review with at least one clone
36215,multipla,review with at least one clone
36291,unica,review with at least one clone
36742,unica,no_clone
36841,unica,review with at least one clone
36886,unica,no_clone
36896,unica,review with at least one clone
37025,unica,review with at least one clone
37034,unica,review with at least one clone
37069,unica,no_clone
37273,unica,no_clone
37302,unica,no_clone
37309,unica,no_clone
37310,unica,no_clone
37313,unica,review with at least one clone
37381,multipla,no_clone
37437,unica,no_clone
37491,unica,review with at least one clone
37499,unica,no_clone
37502,unica,no_clone
37503,unica,no_clone
37585,multipla,no_clone
37594,unica,review with at least one clone
37595,unica,no_clone
37702,unica,no_clone
37703,unica,review with at least one clone
37772,unica,review with at least one clone
37829,unica,no_clone
38200,unica,review with at least one clone
38224,unica,no_clone
38294,unica,no_clone
38318,unica,no_clone
38879,multipla,no_clone
38964,unica,review with at least one clone
38965,unica,no_clone
38971,multipla,review with at least one clone
39083,unica,no_clone
39085,unica,no_clone
39112,multipla,review with at least one clone
39156,unica,no_clone
39160,unica,no_clone
39237,multipla,no_clone
39263,unica,review with at least one clone
39266,unica,no_clone
39406,unica,no_clone
39413,unica,no_clone
39433,unica,review with at least one clone
39480,unica,no_clone
39527,unica,no_clone
39664,unica,no_clone
39741,multipla,review with at least one clone
40253,unica,no_clone
40254,unica,no_clone
40261,unica,no_clone
40377,unica,no_clone
40499,unica,no_clone
40535,unica,no_clone
40563,unica,no_clone
40566,unica,no_clone
40571,unica,no_clone
40693,unica,uninteresting_clone
40723,unica,no_clone
40725,unica,no_clone
40778,unica,no_clone
40781,unica,no_clone
40782,unica,no_clone
40783,unica,no_clone
40784,unica,no_clone
40787,unica,no_clone
40791,unica,no_clone
40796,unica,review with at least one clone
40824,unica,no_clone
40826,unica,review with at least one clone
40834,unica,review with at least one clone
40837,multipla,no_clone
40847,unica,no_clone
40876,unica,no_clone
40879,unica,review with at least one clone
40911,unica,no_clone
40912,unica,no_clone
40917,unica,no_clone
40918,unica,no_clone
40919,unica,no_clone
40964,unica,no_clone
40968,unica,no_clone
40969,unica,no_clone
40970,unica,review with at least one clone
41011,unica,no_clone
41129,unica,no_clone
41163,unica,no_clone
41164,unica,no_clone
41165,unica,no_clone
41166,unica,no_clone
41399,multipla,no_clone
41419,unica,no_clone
41434,unica,uninteresting_clone
41435,multipla,no_clone
41436,multipla,review with at least one clone
41437,multipla,no_clone
41439,multipla,no_clone
41440,multipla,no_clone
41472,multipla,no_clone
41481,multipla,no_clone
41482,multipla,no_clone
41504,multipla,no_clone
41725,multipla,no_clone
41900,multipla,no_clone
41966,multipla,no_clone
42112,multipla,no_clone
42122,multipla,no_clone
42202,multipla,no_clone
42230,multipla,review with at least one clone
42236,multipla,no_clone
42289,multipla,no_clone
42292,multipla,review with at least one clone
42321,multipla,no_clone
42338,multipla,no_clone
42342,multipla,no_clone
42362,multipla,no_clone
42459,multipla,no_clone
42652,multipla,no_clone
42701,multipla,no_clone
42702,multipla,no_clone
42705,multipla,no_clone
42710,multipla,no_clone
42718,multipla,no_clone
42735,multipla,no_clone
42764,multipla,no_clone
43119,multipla,no_clone
43120,multipla,no_clone
43128,multipla,review with at least one clone
43249,multipla,no_clone
43289,multipla,no_clone
43366,multipla,no_clone
43367,multipla,no_clone
43368,multipla,no_clone
43401,multipla,no_clone
43402,multipla,no_clone
43474,multipla,review with at least one clone
43477,multipla,review with at least one clone
43746,multipla,no_clone
43782,multipla,no_clone
43785,multipla,no_clone
43786,multipla,no_clone
43824,multipla,no_clone
43845,multipla,no_clone
43953,multipla,no_clone
44012,multipla,no_clone
44181,multipla,no_clone
44245,multipla,no_clone
44349,multipla,no_clone
44414,multipla,no_clone
44418,multipla,no_clone
44422,multipla,no_clone
44477,multipla,no_clone
44480,multipla,no_clone
44481,multipla,no_clone
44510,multipla,no_clone
44521,multipla,review with at least one clone
44605,unica,no_clone
44618,multipla,no_clone
44619,multipla,no_clone
44684,multipla,no_clone
44685,multipla,no_clone
44686,multipla,no_clone
44687,multipla,no_clone
44688,multipla,no_clone
44689,multipla,no_clone
44690,multipla,no_clone
44708,multipla,no_clone
44719,multipla,no_clone
44748,multipla,review with at least one clone
44751,multipla,no_clone
44754,multipla,no_clone
44759,multipla,no_clone
44760,multipla,no_clone
44761,multipla,no_clone
44762,multipla,review with at least one clone
44763,multipla,no_clone
44764,multipla,no_clone
44767,multipla,no_clone
44768,multipla,review with at least one clone
44769,multipla,no_clone
44770,multipla,no_clone
44771,multipla,no_clone
44772,multipla,review with at least one clone
44773,multipla,no_clone
44774,multipla,no_clone
44775,multipla,no_clone
44776,multipla,no_clone
44777,multipla,no_clone
44780,multipla,uninteresting_clone
44781,multipla,no_clone
44801,multipla,no_clone
44802,multipla,review with at least one clone
44804,multipla,no_clone
44809,multipla,no_clone
44837,multipla,review with at least one clone
44840,multipla,no_clone
44841,multipla,no_clone
44842,multipla,no_clone
44877,multipla,no_clone
44898,multipla,no_clone
44907,multipla,no_clone
44908,multipla,no_clone
44909,multipla,no_clone
44910,multipla,review with at least one clone
44911,multipla,review with at least one clone
44912,multipla,no_clone
44913,multipla,no_clone
44914,multipla,no_clone
44915,multipla,no_clone
44916,multipla,no_clone
44917,multipla,no_clone
44919,multipla,no_clone
44923,unica,no_clone
44925,multipla,no_clone
44958,multipla,no_clone
44959,multipla,no_clone
44986,multipla,no_clone
45019,multipla,no_clone
45020,multipla,no_clone
45066,multipla,no_clone
45133,multipla,no_clone
45143,multipla,no_clone
45225,multipla,no_clone
45275,multipla,uninteresting_clone
45308,multipla,no_clone
45312,multipla,no_clone
45343,multipla,no_clone
45346,multipla,no_clone
45382,unica,no_clone
45429,multipla,no_clone
45435,multipla,review with at least one clone
45436,multipla,no_clone
45459,multipla,no_clone
45461,multipla,no_clone
45465,multipla,no_clone
45467,unica,no_clone
45472,multipla,no_clone
45568,multipla,no_clone
45665,multipla,no_clone
45736,multipla,no_clone
45784,multipla,no_clone
45785,multipla,no_clone
45867,multipla,review with at least one clone
45915,multipla,uninteresting_clone
45917,multipla,no_clone
45923,multipla,no_clone
45924,multipla,no_clone
45962,multipla,no_clone
45981,multipla,no_clone
45985,multipla,no_clone
45986,multipla,no_clone
45990,multipla,no_clone
46038,multipla,no_clone
46073,unica,no_clone
46074,multipla,no_clone
46085,multipla,no_clone
46137,multipla,no_clone
46139,multipla,no_clone
46227,multipla,no_clone
46373,multipla,no_clone
46433,multipla,no_clone
46434,multipla,no_clone
46435,multipla,no_clone
46442,multipla,no_clone
46447,multipla,no_clone
46585,multipla,no_clone
46590,multipla,no_clone
46591,multipla,uninteresting_clone
46594,multipla,no_clone
46634,multipla,no_clone
46687,multipla,no_clone
46691,multipla,no_clone
46874,multipla,no_clone
46942,multipla,no_clone
46943,multipla,review with at least one clone
46954,multipla,no_clone
47009,multipla,no_clone
47228,multipla,no_clone
47229,multipla,no_clone
47268,multipla,no_clone
47276,multipla,review with at least one clone
47405,multipla,review with at least one clone
47452,multipla,no_clone
47541,multipla,no_clone
47556,multipla,no_clone
47610,multipla,review with at least one clone
47854,multipla,no_clone
47855,multipla,review with at least one clone
47856,multipla,no_clone
47859,multipla,no_clone
47861,multipla,no_clone
47862,multipla,no_clone
47991,multipla,no_clone
47995,multipla,no_clone
48005,multipla,review with at least one clone
48007,multipla,no_clone
48104,multipla,no_clone
48112,multipla,no_clone
48156,multipla,no_clone
48159,multipla,review with at least one clone
48171,multipla,no_clone
48238,multipla,no_clone
48414,multipla,uninteresting_clone
48680,multipla,review with at least one clone
48693,multipla,uninteresting_clone
48845,multipla,uninteresting_clone
48846,multipla,no_clone
48924,multipla,review with at least one clone
49102,multipla,no_clone
49160,multipla,no_clone
49162,multipla,no_clone
49298,multipla,review with at least one clone
49310,multipla,no_clone
49451,multipla,no_clone
49596,multipla,no_clone
49597,multipla,no_clone
49601,multipla,review with at least one clone
49732,multipla,no_clone
49855,multipla,review with at least one clone
49857,multipla,no_clone
49900,multipla,no_clone
49935,multipla,no_clone
49936,multipla,no_clone
49937,multipla,no_clone
49938,multipla,review with at least one clone
49939,multipla,no_clone
49942,multipla,uninteresting_clone
49945,multipla,uninteresting_clone
49986,multipla,review with at least one clone
49988,multipla,review with at least one clone
50156,multipla,no_clone
50175,multipla,no_clone
50177,multipla,review with at least one clone
50179,multipla,no_clone
50182,multipla,no_clone
50183,multipla,no_clone
50184,multipla,no_clone
50186,multipla,no_clone
50187,multipla,no_clone
50272,multipla,uninteresting_clone
50273,multipla,uninteresting_clone
50410,multipla,no_clone
50533,multipla,no_clone
50534,multipla,no_clone
50543,multipla,no_clone
50706,multipla,uninteresting_clone
50716,multipla,no_clone
50747,unica,no_clone
50838,unica,no_clone
50840,multipla,uninteresting_clone
50843,multipla,no_clone
51213,multipla,no_clone
51214,multipla,no_clone
51363,multipla,no_clone
51463,multipla,no_clone
51510,multipla,no_clone
51561,unica,no_clone
51562,multipla,no_clone
51564,multipla,no_clone
51570,multipla,no_clone
51757,multipla,no_clone
51863,multipla,review with at least one clone
51905,multipla,review with at least one clone
51974,multipla,no_clone
51978,multipla,no_clone
51984,multipla,uninteresting_clone
51999,multipla,no_clone
52098,multipla,no_clone
52157,multipla,no_clone
52219,multipla,review with at least one clone
52220,multipla,review with at least one clone
52225,multipla,no_clone
52226,multipla,no_clone
52228,multipla,no_clone
52230,multipla,no_clone
52431,multipla,no_clone
52475,multipla,no_clone
52476,multipla,no_clone
52477,multipla,no_clone
52480,multipla,no_clone
52536,multipla,no_clone
52539,multipla,no_clone
52825,multipla,no_clone
52861,multipla,no_clone
52862,multipla,review with at least one clone
52863,multipla,no_clone
52864,multipla,no_clone
52904,multipla,no_clone
53067,multipla,no_clone
53452,multipla,no_clone
53453,multipla,no_clone
