review_number,type_of_revisions,clone_exists
1,unica,no_clone
11,multipla,no_clone
12,unica,no_clone
38,multipla,no_clone
60,multipla,no_clone
62,multipla,no_clone
68,unica,no_clone
69,unica,no_clone
70,multipla,no_clone
71,unica,no_clone
72,multipla,no_clone
76,multipla,no_clone
83,multipla,no_clone
84,multipla,no_clone
85,multipla,no_clone
88,multipla,no_clone
89,multipla,no_clone
92,multipla,no_clone
93,multipla,no_clone
94,multipla,no_clone
95,multipla,no_clone
105,multipla,no_clone
108,multipla,no_clone
109,multipla,no_clone
112,unica,no_clone
114,multipla,no_clone
116,multipla,no_clone
117,multipla,no_clone
118,multipla,no_clone
119,unica,no_clone
120,multipla,no_clone
121,multipla,no_clone
122,multipla,no_clone
124,multipla,no_clone
126,unica,no_clone
127,unica,no_clone
128,unica,no_clone
129,unica,no_clone
130,unica,no_clone
131,unica,no_clone
133,multipla,no_clone
134,unica,no_clone
135,multipla,no_clone
137,multipla,no_clone
141,multipla,no_clone
142,multipla,no_clone
150,multipla,no_clone
154,unica,no_clone
160,multipla,no_clone
162,multipla,no_clone
165,unica,no_clone
166,multipla,no_clone
167,unica,no_clone
168,multipla,no_clone
169,unica,no_clone
171,unica,review with at least one clone
172,unica,no_clone
173,unica,no_clone
193,unica,no_clone
197,multipla,no_clone
199,multipla,no_clone
204,unica,no_clone
206,multipla,no_clone
207,unica,no_clone
208,unica,no_clone
212,multipla,no_clone
217,unica,no_clone
220,unica,no_clone
221,unica,no_clone
222,unica,no_clone
223,unica,no_clone
224,unica,no_clone
226,unica,no_clone
227,unica,no_clone
230,unica,no_clone
231,multipla,no_clone
245,unica,no_clone
246,multipla,no_clone
247,multipla,no_clone
248,multipla,no_clone
251,multipla,no_clone
253,unica,no_clone
261,unica,no_clone
267,unica,no_clone
268,unica,no_clone
269,multipla,no_clone
271,unica,no_clone
272,unica,no_clone
273,multipla,no_clone
275,unica,no_clone
276,multipla,no_clone
277,multipla,no_clone
296,unica,no_clone
297,unica,no_clone
298,multipla,no_clone
302,multipla,no_clone
308,multipla,no_clone
309,multipla,no_clone
310,multipla,no_clone
311,multipla,no_clone
312,unica,no_clone
313,multipla,review with at least one clone
314,unica,no_clone
316,multipla,no_clone
317,unica,no_clone
318,unica,uninteresting_clone
319,multipla,uninteresting_clone
321,multipla,no_clone
322,unica,no_clone
323,unica,no_clone
324,unica,no_clone
325,multipla,no_clone
326,multipla,review with at least one clone
327,unica,no_clone
328,unica,no_clone
329,unica,no_clone
330,unica,no_clone
331,multipla,no_clone
332,multipla,no_clone
333,unica,no_clone
334,unica,no_clone
342,multipla,no_clone
344,multipla,no_clone
348,multipla,no_clone
349,unica,uninteresting_clone
350,unica,no_clone
351,multipla,no_clone
352,unica,no_clone
353,multipla,no_clone
356,unica,no_clone
357,unica,no_clone
358,unica,review with at least one clone
359,unica,review with at least one clone
360,multipla,no_clone
361,multipla,no_clone
362,multipla,no_clone
363,unica,no_clone
364,unica,no_clone
365,unica,no_clone
366,unica,no_clone
367,unica,no_clone
368,unica,no_clone
369,unica,no_clone
370,unica,no_clone
371,multipla,review with at least one clone
372,unica,no_clone
373,multipla,no_clone
374,multipla,no_clone
375,unica,no_clone
376,unica,no_clone
380,multipla,no_clone
381,multipla,no_clone
382,multipla,no_clone
383,multipla,no_clone
384,multipla,no_clone
391,unica,no_clone
392,unica,no_clone
395,unica,review with at least one clone
397,multipla,no_clone
401,unica,no_clone
502,multipla,review with at least one clone
503,multipla,no_clone
504,multipla,review with at least one clone
505,multipla,no_clone
506,multipla,no_clone
507,multipla,review with at least one clone
508,multipla,review with at least one clone
509,unica,no_clone
510,multipla,no_clone
511,unica,no_clone
512,unica,no_clone
513,unica,no_clone
514,unica,no_clone
515,multipla,no_clone
516,multipla,no_clone
518,multipla,no_clone
519,multipla,no_clone
520,unica,no_clone
521,multipla,no_clone
522,multipla,no_clone
524,multipla,review with at least one clone
525,unica,no_clone
527,multipla,review with at least one clone
529,unica,no_clone
530,multipla,no_clone
531,multipla,no_clone
532,unica,no_clone
533,multipla,no_clone
534,multipla,review with at least one clone
535,multipla,review with at least one clone
536,multipla,no_clone
537,multipla,no_clone
539,unica,no_clone
540,unica,no_clone
542,unica,no_clone
544,multipla,review with at least one clone
545,unica,no_clone
546,unica,review with at least one clone
547,unica,no_clone
548,unica,no_clone
549,multipla,review with at least one clone
553,multipla,no_clone
554,unica,no_clone
555,multipla,no_clone
556,multipla,review with at least one clone
557,multipla,no_clone
558,multipla,no_clone
560,unica,no_clone
561,unica,uninteresting_clone
562,unica,uninteresting_clone
563,unica,no_clone
564,unica,no_clone
565,multipla,no_clone
566,unica,no_clone
567,unica,no_clone
576,multipla,no_clone
577,multipla,review with at least one clone
578,multipla,no_clone
579,multipla,no_clone
580,multipla,no_clone
581,unica,no_clone
582,unica,review with at least one clone
583,multipla,no_clone
585,multipla,no_clone
586,unica,no_clone
589,multipla,no_clone
