review_number,type_of_revisions,clone_exists
2,multipla,no_clone
3,multipla,review with at least one clone
4,unica,no_clone
5,multipla,no_clone
6,multipla,no_clone
7,multipla,no_clone
8,multipla,no_clone
9,multipla,no_clone
10,multipla,no_clone
13,unica,no_clone
14,multipla,no_clone
15,unica,no_clone
16,unica,no_clone
17,multipla,no_clone
18,multipla,uninteresting_clone
19,multipla,no_clone
20,multipla,no_clone
21,multipla,uninteresting_clone
22,multipla,no_clone
23,multipla,no_clone
24,multipla,no_clone
25,unica,no_clone
26,unica,no_clone
27,unica,no_clone
28,unica,no_clone
29,unica,no_clone
30,unica,no_clone
31,unica,no_clone
32,multipla,no_clone
33,multipla,review with at least one clone
34,multipla,no_clone
35,multipla,no_clone
36,multipla,no_clone
37,multipla,no_clone
39,multipla,no_clone
40,multipla,no_clone
41,multipla,no_clone
42,unica,no_clone
43,multipla,no_clone
44,multipla,no_clone
45,multipla,no_clone
46,multipla,no_clone
47,multipla,no_clone
48,multipla,no_clone
49,multipla,no_clone
50,multipla,no_clone
51,unica,no_clone
52,unica,no_clone
53,unica,no_clone
54,unica,no_clone
55,unica,no_clone
56,unica,no_clone
57,unica,no_clone
58,unica,no_clone
59,multipla,no_clone
61,multipla,no_clone
63,multipla,no_clone
64,multipla,no_clone
65,unica,no_clone
66,unica,no_clone
67,multipla,no_clone
73,multipla,no_clone
74,unica,no_clone
75,unica,no_clone
77,unica,no_clone
78,unica,no_clone
79,unica,no_clone
80,unica,no_clone
81,unica,no_clone
82,unica,no_clone
86,multipla,no_clone
87,multipla,no_clone
90,unica,no_clone
91,unica,no_clone
96,multipla,no_clone
97,unica,no_clone
98,multipla,no_clone
99,unica,no_clone
100,unica,no_clone
101,unica,no_clone
102,multipla,no_clone
103,multipla,no_clone
104,unica,no_clone
106,unica,no_clone
107,unica,no_clone
110,unica,no_clone
111,unica,no_clone
113,multipla,no_clone
115,multipla,no_clone
123,multipla,no_clone
125,multipla,no_clone
132,multipla,no_clone
136,multipla,no_clone
138,unica,no_clone
139,unica,no_clone
140,multipla,no_clone
143,unica,review with at least one clone
144,unica,review with at least one clone
145,unica,review with at least one clone
146,multipla,no_clone
147,multipla,no_clone
148,multipla,no_clone
149,multipla,no_clone
151,multipla,uninteresting_clone
152,multipla,review with at least one clone
153,multipla,no_clone
155,unica,no_clone
156,multipla,no_clone
157,multipla,no_clone
158,unica,no_clone
159,multipla,no_clone
161,multipla,no_clone
163,unica,no_clone
164,unica,no_clone
170,multipla,no_clone
174,unica,no_clone
175,multipla,no_clone
176,multipla,no_clone
177,multipla,no_clone
178,multipla,no_clone
179,multipla,no_clone
180,unica,no_clone
181,unica,no_clone
182,multipla,no_clone
183,multipla,no_clone
184,multipla,no_clone
185,multipla,no_clone
186,unica,no_clone
187,unica,no_clone
188,unica,no_clone
189,unica,no_clone
190,unica,no_clone
191,unica,no_clone
192,unica,no_clone
194,multipla,review with at least one clone
195,multipla,no_clone
196,multipla,no_clone
198,unica,no_clone
200,unica,no_clone
201,multipla,no_clone
202,unica,no_clone
203,multipla,no_clone
205,multipla,no_clone
209,unica,no_clone
210,multipla,no_clone
211,multipla,no_clone
213,unica,no_clone
214,unica,no_clone
215,unica,no_clone
216,unica,no_clone
218,unica,no_clone
219,unica,no_clone
225,unica,no_clone
228,multipla,no_clone
229,unica,no_clone
232,multipla,no_clone
233,unica,no_clone
234,multipla,review with at least one clone
235,unica,review with at least one clone
236,multipla,review with at least one clone
237,unica,no_clone
238,unica,no_clone
239,unica,uninteresting_clone
240,unica,review with at least one clone
241,unica,no_clone
242,unica,no_clone
243,unica,no_clone
244,multipla,no_clone
249,unica,no_clone
250,multipla,no_clone
252,unica,no_clone
254,unica,no_clone
255,unica,no_clone
256,unica,no_clone
257,unica,no_clone
258,unica,no_clone
259,unica,no_clone
260,unica,no_clone
262,multipla,no_clone
263,multipla,no_clone
264,multipla,no_clone
265,unica,no_clone
266,multipla,no_clone
270,unica,no_clone
274,unica,no_clone
278,unica,no_clone
279,unica,no_clone
280,multipla,no_clone
281,unica,no_clone
282,multipla,no_clone
283,unica,no_clone
284,unica,no_clone
285,unica,no_clone
286,unica,no_clone
287,multipla,no_clone
288,multipla,no_clone
289,multipla,no_clone
290,multipla,no_clone
291,multipla,no_clone
292,multipla,no_clone
293,multipla,review with at least one clone
294,unica,no_clone
295,multipla,no_clone
299,unica,no_clone
300,multipla,no_clone
301,multipla,no_clone
303,multipla,no_clone
304,multipla,no_clone
305,multipla,no_clone
306,multipla,no_clone
307,multipla,no_clone
315,multipla,no_clone
320,multipla,no_clone
335,multipla,no_clone
336,multipla,no_clone
337,multipla,no_clone
338,multipla,no_clone
339,multipla,no_clone
340,multipla,no_clone
341,multipla,no_clone
343,unica,no_clone
345,unica,no_clone
346,unica,no_clone
347,multipla,review with at least one clone
354,multipla,no_clone
355,unica,no_clone
377,unica,no_clone
378,unica,no_clone
379,unica,no_clone
385,multipla,no_clone
386,multipla,no_clone
387,multipla,no_clone
388,multipla,no_clone
389,multipla,no_clone
390,unica,no_clone
393,unica,no_clone
394,unica,no_clone
396,unica,no_clone
517,multipla,no_clone
523,multipla,no_clone
526,unica,no_clone
528,multipla,review with at least one clone
538,unica,no_clone
541,unica,no_clone
543,unica,no_clone
550,unica,no_clone
551,multipla,no_clone
552,multipla,no_clone
559,unica,no_clone
568,unica,no_clone
569,unica,no_clone
570,unica,no_clone
571,unica,no_clone
572,unica,no_clone
573,unica,no_clone
574,unica,no_clone
575,unica,no_clone
584,unica,no_clone
587,unica,no_clone
588,multipla,no_clone
591,multipla,no_clone
594,unica,no_clone
598,multipla,no_clone
603,multipla,no_clone
610,unica,no_clone
611,unica,no_clone
612,unica,no_clone
618,unica,no_clone
620,multipla,no_clone
628,unica,no_clone
629,unica,no_clone
630,multipla,no_clone
633,unica,no_clone
635,unica,no_clone
643,unica,no_clone
667,multipla,no_clone
678,unica,no_clone
681,unica,no_clone
682,unica,no_clone
683,multipla,no_clone
684,unica,no_clone
685,unica,no_clone
689,multipla,no_clone
694,unica,no_clone
695,unica,no_clone
696,unica,no_clone
697,unica,no_clone
704,unica,no_clone
705,multipla,review with at least one clone
706,unica,review with at least one clone
707,unica,review with at least one clone
708,multipla,no_clone
709,unica,no_clone
710,unica,no_clone
711,unica,review with at least one clone
712,multipla,no_clone
721,multipla,no_clone
723,multipla,no_clone
728,unica,no_clone
729,unica,no_clone
754,multipla,no_clone
759,unica,review with at least one clone
766,unica,no_clone
767,unica,no_clone
768,unica,no_clone
771,unica,review with at least one clone
772,unica,no_clone
773,multipla,no_clone
792,multipla,no_clone
793,unica,no_clone
794,multipla,no_clone
796,multipla,no_clone
797,unica,no_clone
803,unica,no_clone
810,unica,no_clone
811,unica,no_clone
816,multipla,no_clone
817,unica,no_clone
818,unica,no_clone
819,unica,no_clone
820,unica,no_clone
825,multipla,uninteresting_clone
828,multipla,no_clone
830,unica,no_clone
831,unica,no_clone
835,multipla,no_clone
836,multipla,review with at least one clone
837,unica,no_clone
839,unica,no_clone
840,unica,no_clone
841,unica,no_clone
842,unica,no_clone
846,unica,no_clone
847,unica,no_clone
848,unica,no_clone
849,unica,no_clone
850,unica,no_clone
851,unica,uninteresting_clone
852,unica,no_clone
853,unica,no_clone
854,multipla,no_clone
855,unica,no_clone
856,unica,no_clone
