review_number,block,categoria,tipo,duracao,distancia,move_block
12907,CouchbaseClient_0,individual,unique/ini,0.2,0,mesmo arquivo
14959,ViewNode_0,recorrente,ini/mei/final,1.0,0,mesmo arquivo
19606,ViewConnection_1,recorrente,ini/mei,0.6666666666666666,0,ambos
19606,ViewNode_2,recorrente,ini/mei/final,1.0,0,mesmo arquivo
19606,ViewConnection_1_rev_2,individual,unique/final,0.3333333333333333,1.0,ambos
22048,CouchbaseClient_0,recorrente,ini/mei/final,1.0,0,ambos
22308,CouchbaseClient_0,recorrente,ini/mei/final,1.0,0,mesmo arquivo
22308,CouchbaseClient_1,recorrente,ini/mei/final,1.0,0,mesmo arquivo
22445,BucketTool_5,individual,unique/ini,0.14285714285714285,0,mesmo arquivo
22445,BucketTool_6,recorrente,mei/final,0.8571428571428571,0.2857142857142857,mesmo arquivo
22563,CouchbaseClient_0,recorrente,ini/mei/final,1.0,0,mesmo arquivo
22563,CouchbaseClient_1,recorrente,ini/mei/final,1.0,0,mesmo arquivo
23989,CouchbaseClient_4,recorrente,ini/mei/final,1.0,0,mesmo arquivo
23989,CouchbaseClient_0,recorrente,ini/mei/final,1.0,0,mesmo arquivo
23989,CouchbaseClient_1,recorrente,ini/mei/final,1.0,0,mesmo arquivo
23989,CouchbaseProperties_6,recorrente,ini/mei/final,1.0,0,mesmo arquivo
23989,CouchbaseClient_3,recorrente,ini/mei/final,1.0,0,mesmo arquivo
23989,CouchbaseProperties_5,recorrente,ini/mei/final,1.0,0,mesmo arquivo
23989,CouchbaseClient_2,recorrente,ini/mei/final,1.0,0,mesmo arquivo
24750,VBucketNodeLocator_2,individual,unique/mei,0.09090909090909091,0.18181818181818182,mesmo arquivo
24750,VBucketNodeLocator_2_rev_2,recorrente,mei,0.36363636363636365,0.2727272727272727,mesmo arquivo
24750,VBucketNodeLocator_3,recorrente,mei/final,0.45454545454545453,0.6363636363636364,mesmo arquivo
24818,CouchbaseClient_0,recorrente,ini/mei/final,1.0,0,mesmo arquivo
24935,CouchbaseClient_0,recorrente,ini/mei/final,1.0,0,mesmo arquivo
25107,CouchbaseConnectionFactory_0,recorrente,ini/mei/final,1.0,0,mesmo arquivo
25415,ComplexKey_1,individual,unique/ini,0.1111111111111111,0,mesmo arquivo
25415,ComplexKey_0,individual,unique/ini,0.1111111111111111,0,mesmo arquivo
26557,ClusterManager_1,recorrente,ini/mei/final,1.0,0,mesmo arquivo
26557,BucketTool_3,recorrente,ini/mei/final,1.0,0,mesmo arquivo
27065,CouchbaseMemcachedConnection_0,individual,unique/ini,0.16666666666666666,0,arquivo diferente
27065,CouchbaseMemcachedConnection_0_rev_1,recorrente,mei/final,0.8333333333333334,0.3333333333333333,arquivo diferente
27309,ViewNode_0,recorrente,ini/mei/final,1.0,0,mesmo arquivo
27309,Query_1,recorrente,ini/mei/final,1.0,0,mesmo arquivo
28860,CouchbaseConnectionFactoryBuilder_1,recorrente,ini/mei/final,1.0,0,mesmo arquivo
29541,CouchbaseClientIF_0,recorrente,ini/mei/final,1.0,0,arquivo diferente
29848,CouchbaseClient_0,individual,unique/ini,0.2,0,mesmo arquivo
29850,DefaultConfigFactory_1,recorrente,ini/mei/final,1.0,0,mesmo arquivo
30009,CouchbaseClient_0,recorrente,ini/mei/final,1.0,0,mesmo arquivo
30009,CouchbaseClient_1,recorrente,ini/mei/final,1.0,0,mesmo arquivo
31017,ViewNode_5,individual,unique/ini,0.07142857142857142,0,mesmo arquivo
31017,ViewConnection_6,individual,unique/mei,0.07142857142857142,0.14285714285714285,mesmo arquivo
31017,ViewConnection_3,individual,unique/mei,0.07142857142857142,0.14285714285714285,arquivo diferente
31214,CouchbaseClient_1,recorrente,mei/final,0.5714285714285714,0.5714285714285714,mesmo arquivo
31246,ClusterManager_5,individual,unique/ini,0.16666666666666666,0,mesmo arquivo
31246,ClusterManager_10,recorrente,mei/final,0.8333333333333334,0.3333333333333333,arquivo diferente
31246,ClusterManager_11,recorrente,mei,0.3333333333333333,0.3333333333333333,arquivo diferente
31246,ClusterManager_12,recorrente,mei/final,0.5,0.6666666666666666,arquivo diferente
