review_number,categoria,move_block
11287,,no_clone,
12027,,no_clone,
12051,,no_clone,
12096,,no_clone,
12144,,no_clone,
12148,,no_clone,
12149,,no_clone,
12150,,uninteresting_clone,
12151,,no_clone,
12384,,no_clone,
12554,,no_clone,
12557,,no_clone,
12561,,no_clone,
12580,,no_clone,
12582,,no_clone,
12583,,no_clone,
12690,,no_clone,
13082,,no_clone,
13374,,no_clone,
13375,,no_clone,
13394,,no_clone,
14157,,no_clone,
14178,,no_clone,
14527,,no_clone,
14562,,no_clone,
14586,,no_clone,
15435,,no_clone,
15436,,no_clone,
15462,,no_clone,
15953,,no_clone,
15954,,no_clone,
15955,,no_clone,
15958,,no_clone,
16702,,no_clone,
16765,,no_clone,
17742,,no_clone,
18654,,no_clone,
18655,,no_clone,
18755,,no_clone,
18757,,no_clone,
18758,,no_clone,
19017,,no_clone,
19018,,no_clone,
19051,,no_clone,
19067,,no_clone,
19584,ViewNode_0,review with at least one clone,mesmo arquivo
19602,,no_clone,
19603,ViewConnection_1,review with at least one clone,ambos
19603,ViewNode_2,review with at least one clone,mesmo arquivo
19604,,no_clone,
19605,,no_clone,
19693,,no_clone,
19860,,no_clone,
19861,,no_clone,
19862,,no_clone,
20817,,no_clone,
20902,,no_clone,
20906,Query_0,review with at least one clone,mesmo arquivo
21197,,no_clone,
21261,Query_1,review with at least one clone,arquivo diferente
21292,,uninteresting_clone,
21293,,no_clone,
21294,,no_clone,
22713,,no_clone,
24407,,no_clone,
25153,,no_clone,
26556,BucketTool_4,review with at least one clone,mesmo arquivo
26556,ClusterManager_1,review with at least one clone,mesmo arquivo
26598,,no_clone,
26599,,no_clone,
26600,,no_clone,
26602,,no_clone,
27839,,no_clone,
29536,,no_clone,
30127,,no_clone,
30376,,no_clone,
31719,HttpResponseCallback_0,review with at least one clone,mesmo arquivo
31719,VBucket_2,review with at least one clone,mesmo arquivo
31719,DefaultConfigFactory_1,review with at least one clone,mesmo arquivo
34427,,no_clone,
38653,,no_clone,
38735,,no_clone,
38740,,no_clone,
38741,,no_clone,
39528,CouchbaseBucket_1,review with at least one clone,mesmo arquivo
39528,Observe_2,review with at least one clone,mesmo arquivo
40763,,no_clone,
41211,,no_clone,
41414,,no_clone,
41557,,no_clone,
41585,,no_clone,
41674,,no_clone,
42734,,no_clone,
43038,,no_clone,
44140,,no_clone,
44576,,no_clone,
49164,,no_clone,
50194,,no_clone,
50314,DefaultEntityConverter_10,review with at least one clone,mesmo arquivo
52421,,no_clone,
59167,,no_clone,
59249,JsonTranscoder_2,review with at least one clone,arquivo diferente
59249,JsonArrayTranscoder_0,review with at least one clone,arquivo diferente
59255,,no_clone,
59256,,no_clone,
62538,,no_clone,
63925,,no_clone,
64062,,no_clone,
64395,,no_clone,
67874,,no_clone,
77652,,no_clone,
80934,,no_clone,
83490,CouchbaseCluster_4,review with at least one clone,ambos
83490,CouchbaseCluster_3,review with at least one clone,mesmo arquivo
84195,,no_clone,
85455,,no_clone,
91901,,no_clone,
93177,,no_clone,
95326,,no_clone,
100534,,no_clone,
100535,,no_clone,
101497,,no_clone,
104870,,no_clone,
104871,,no_clone,
106496,,no_clone,
111923,,no_clone,
125046,,no_clone,
166268,,no_clone,
