review_number,block,categoria,tipo,duracao,distancia,move_block
36215,BinaryCodec_5,individual,unique/final,0.5,1.0,mesmo arquivo
38971,DefaultConfigurationProvider_1,individual,unique/ini,0.16666666666666666,0,mesmo arquivo
38971,DefaultConfigurationProvider_1_rev_1,recorrente,mei/final,0.8333333333333334,0.3333333333333333,mesmo arquivo
38971,HttpRefresher_12,recorrente,mei/final,0.5,0.6666666666666666,mesmo arquivo
38971,AbstractBinaryResponse_17,individual,unique/final,0.16666666666666666,1.0,arquivo diferente
38971,AbstractCouchbaseResponse_16,individual,unique/final,0.16666666666666666,1.0,arquivo diferente
39112,BinaryCodec_1,individual,unique/ini,0.2,0,mesmo arquivo
39112,BinaryCodec_4,recorrente,mei/final,0.4,0.8,mesmo arquivo
39112,BinaryCodec_5,recorrente,mei/final,0.4,0.8,mesmo arquivo
39741,ConfigCodec_3,individual,unique/ini,0.1111111111111111,0,mesmo arquivo
39741,PartitionSelectionStrategy_16,recorrente,apa/des/apa,,0.5555555555555556,mesmo arquivo
39741,CouchbaseNode_16,recorrente,apa/des/apa,,0.6666666666666666,ambos
41436,DefaultCoreEnvironment_1,recorrente,ini/mei/final,1.0,0,mesmo arquivo
42230,RequestHandler_0,recorrente,ini/mei/final,1.0,0,mesmo arquivo
42292,ResponseEvent_1,recorrente,ini/mei/final,1.0,0,arquivo diferente
42292,RequestEvent_0,recorrente,ini/mei/final,1.0,0,arquivo diferente
43128,AbstractService_11,recorrente,ini/mei/final,1.0,0,mesmo arquivo
43128,AbstractCouchbaseLogger_7,recorrente,ini/mei/final,1.0,0,mesmo arquivo
43128,AbstractCouchbaseLogger_5,recorrente,ini/mei/final,1.0,0,mesmo arquivo
43128,AbstractService_12,recorrente,ini/mei/final,1.0,0,mesmo arquivo
43128,AbstractCouchbaseLogger_8,recorrente,ini/mei/final,1.0,0,mesmo arquivo
43128,AbstractBinaryMemcacheDecoder_14,recorrente,ini/mei/final,1.0,0,mesmo arquivo
43128,DefaultCouchbaseBucketConfig_4,recorrente,ini/mei/final,1.0,0,mesmo arquivo
43128,AbstractBinaryMemcacheDecoder_15,recorrente,ini/mei/final,1.0,0,mesmo arquivo
43128,AbstractCouchbaseLogger_6,recorrente,ini/mei/final,1.0,0,mesmo arquivo
43128,DefaultCouchbaseBucketConfig_3,recorrente,ini/mei/final,1.0,0,mesmo arquivo
43128,CouchbaseCore_0,recorrente,ini/mei/final,1.0,0,mesmo arquivo
43128,AbstractBinaryMemcacheDecoder_13,recorrente,ini/mei/final,1.0,0,mesmo arquivo
43128,DefaultConfigurationProvider_2,recorrente,ini/mei/final,1.0,0,mesmo arquivo
43128,AbstractCouchbaseLogger_10,recorrente,ini/mei/final,1.0,0,mesmo arquivo
43128,AbstractCouchbaseLogger_9,recorrente,ini/mei/final,1.0,0,mesmo arquivo
43474,AbstractService_0,recorrente,ini/mei/final,1.0,0,mesmo arquivo
43477,ConfigHandler_0,recorrente,ini/mei/final,1.0,0,mesmo arquivo
44521,Observe_1,recorrente,ini/mei/final,1.0,0,mesmo arquivo
44748,HttpRefresher_1,recorrente,ini/mei/final,1.0,0,mesmo arquivo
44762,Tuple2_0,recorrente,ini/mei/final,1.0,0,arquivo diferente
44768,HttpRefresher_1,recorrente,ini/mei/final,1.0,0,mesmo arquivo
44772,Tuple2_0,recorrente,ini/mei/final,1.0,0,arquivo diferente
44802,RequestHandler_0,recorrente,ini/mei/final,1.0,0,mesmo arquivo
44802,ResponseHandler_2,recorrente,ini/mei/final,1.0,0,mesmo arquivo
44802,RequestHandler_1,recorrente,ini/mei/final,1.0,0,mesmo arquivo
44837,CarrierRefresher_4,individual,unique/ini,0.25,0,mesmo arquivo
44837,CarrierRefresher_3,recorrente,ini/mei/final,1.0,0,mesmo arquivo
44837,CarrierRefresher_2,recorrente,mei/final,0.5,0.75,mesmo arquivo
44910,RequestHandler_0,recorrente,ini/mei/final,1.0,0,mesmo arquivo
44910,ResponseHandler_2,recorrente,ini/mei/final,1.0,0,mesmo arquivo
44910,RequestHandler_1,recorrente,ini/mei/final,1.0,0,mesmo arquivo
44911,CarrierRefresher_4,recorrente,ini/mei/final,1.0,0,mesmo arquivo
44911,CarrierRefresher_2,recorrente,ini/mei/final,1.0,0,mesmo arquivo
45435,QueryHandler_0,recorrente,ini/mei/final,1.0,0,mesmo arquivo
45867,ResponseHandler_0,recorrente,ini/mei/final,1.0,0,mesmo arquivo
