review_number,block,categoria,tipo,duracao,distancia,move_block
313,CheckboxLabelProvider_0,recorrente,ini/mei/final,1.0,0,mesmo arquivo
326,GitLightweightDecorator_3,individual,unique/mei,0.16666666666666666,0.8333333333333334,mesmo arquivo
371,CommitDialog_2,individual,unique/ini,0.5,0,arquivo diferente
502,RepositoryPropertySource_19,recorrente,ini/mei/final,1.0,0,arquivo diferente
502,RepositorySelectionPage_4,recorrente,ini/mei/final,1.0,0,mesmo arquivo
502,RepositoriesView_12,recorrente,ini/mei/final,1.0,0,mesmo arquivo
504,RepositoryPropertySource_19,individual,unique/final,0.5,1.0,arquivo diferente
504,RepositorySelectionPage_4,individual,unique/final,0.5,1.0,mesmo arquivo
504,RepositoriesView_12,individual,unique/final,0.5,1.0,mesmo arquivo
507,BranchAction_10,individual,unique/ini,0.5,0,mesmo arquivo
508,GitTraceLocation_1,individual,unique/mei,0.14285714285714285,0.42857142857142855,mesmo arquivo
524,CommitDialog_1,individual,unique/ini,0.125,0,mesmo arquivo
524,CommitDialog_2,recorrente,mei,0.25,0.25,mesmo arquivo
527,CommitAction_1,recorrente,ini/mei/final,1.0,0,mesmo arquivo
534,PushWizard_6,recorrente,ini/mei/final,1.0,0,arquivo diferente
534,RepositorySelectionPage_4,recorrente,ini/mei/final,1.0,0,mesmo arquivo
534,FetchWizard_5,recorrente,ini/mei/final,1.0,0,arquivo diferente
534,RepositoriesView_13,individual,unique/mei,0.25,0.5,mesmo arquivo
534,RepositoriesView_18,individual,unique/mei,0.25,0.75,mesmo arquivo
535,RepositorySelection_0,recorrente,ini/mei/final,1.0,0,mesmo arquivo
544,BranchSelectionDialog_4,recorrente,ini/mei,0.2727272727272727,0,mesmo arquivo
544,SWTUtils_4,recorrente,mei,0.18181818181818182,0.36363636363636365,arquivo diferente
549,CommitAction_0,recorrente,ini/mei/final,1.0,0,mesmo arquivo
556,GitHistoryPage_0,individual,unique/ini,0.5,0,mesmo arquivo
556,GitHistoryPage_1,individual,unique/ini,0.5,0,mesmo arquivo
556,GitHistoryPage_0_rev_1,individual,unique/final,0.5,1.0,mesmo arquivo
577,RepositoryAction_1,recorrente,mei/final,0.625,0.4375,mesmo arquivo
615,RepositoriesView_1,individual,unique/ini,0.5,0,mesmo arquivo
621,RepositoriesView_2,individual,unique/ini,0.25,0,mesmo arquivo
621,RepositoriesViewContentProvider_6,recorrente,ini/mei/final,1.0,0,mesmo arquivo
621,RepositoriesView_2_rev_1,individual,unique/mei,0.25,0.75,mesmo arquivo
621,RepositoriesView_2_rev_3,individual,unique/final,0.25,1.0,mesmo arquivo
624,BranchOperation_0,recorrente,ini/mei/final,1.0,0,ambos
631,RepositoriesView_5,individual,unique/ini,0.3333333333333333,0,mesmo arquivo
641,RepositoriesView_6,individual,unique/ini,0.25,0,mesmo arquivo
647,RepositoriesView_2,recorrente,ini/mei/final,1.0,0,mesmo arquivo
650,ProjectUtil_1,recorrente,mei/final,0.6666666666666666,0.6666666666666666,mesmo arquivo
664,ResetAction_0,individual,unique/ini,0.3333333333333333,0,arquivo diferente
664,Track_1,recorrente,ini/mei,0.6666666666666666,0,arquivo diferente
664,ResetAction_2,recorrente,mei/final,0.6666666666666666,0.6666666666666666,arquivo diferente
664,ResetAction_1,recorrente,mei/final,0.6666666666666666,0.6666666666666666,arquivo diferente
664,Track_3_rev_2,individual,unique/final,0.3333333333333333,1.0,arquivo diferente
665,BranchSelectionDialog_6,individual,unique/ini,0.2,0,mesmo arquivo
665,BranchSelectionDialog_5,recorrente,ini/mei,0.8,0,mesmo arquivo
665,BranchSelectionDialog_6_rev_1,recorrente,mei,0.4,0.4,mesmo arquivo
665,BranchSelectionDialog_3,individual,unique/final,0.2,1.0,arquivo diferente
677,RepositoriesView_0,recorrente,ini/mei/final,1.0,0,mesmo arquivo
699,CommitDialog_2,individual,unique/ini,0.5,0,ambos
714,RepositoriesView_1,recorrente,mei/final,0.5,0.75,arquivo diferente
714,RepositoriesView_4,recorrente,mei/final,0.5,0.75,mesmo arquivo
724,BranchSelectionDialog_6,recorrente,ini/mei/final,1.0,0,mesmo arquivo
778,RepositoriesView_9,individual,unique/ini,0.09090909090909091,0,mesmo arquivo
778,RepositoriesView_4,individual,unique/ini,0.09090909090909091,0,mesmo arquivo
778,RepositoriesView_7,recorrente,mei,0.8181818181818182,0.18181818181818182,mesmo arquivo
778,RepositoriesView_2_rev_1,recorrente,mei,0.8181818181818182,0.18181818181818182,mesmo arquivo
778,GitSelectRepositoryPage_1,recorrente,mei,0.36363636363636365,0.36363636363636365,mesmo arquivo
778,GitSelectRepositoryPage_3,recorrente,mei/final,0.36363636363636365,0.7272727272727273,mesmo arquivo
778,RepositoriesView_11,individual,unique/final,0.09090909090909091,1.0,mesmo arquivo
778,RepositoriesView_6,individual,unique/final,0.09090909090909091,1.0,mesmo arquivo
778,RepositoriesView_14,individual,unique/final,0.09090909090909091,1.0,mesmo arquivo
791,GitSelectWizardPage_5,recorrente,ini/mei/final,1.0,0,arquivo diferente
805,RepositorySelectionPage_1,recorrente,ini/mei/final,1.0,0,mesmo arquivo
891,RepositoriesView_5,recorrente,mei,0.5714285714285714,0.42857142857142855,mesmo arquivo
891,GitBlobResourceVariant_2,recorrente,mei,0.42857142857142855,0.5714285714285714,mesmo arquivo
891,GitBlobResourceVariant_1,individual,unique/final,0.14285714285714285,1.0,mesmo arquivo
909,GitSynchronizeData_0,recorrente,ini/mei/final,1.0,0,arquivo diferente
929,ConfigureUriPage_20,recorrente,mei,0.3333333333333333,0.3333333333333333,mesmo arquivo
929,RepositoriesViewContentProvider_26,recorrente,mei,0.3333333333333333,0.3333333333333333,mesmo arquivo
1007,ConfigureUriPage_2,recorrente,ini/mei,0.3888888888888889,0,mesmo arquivo
