review_number,categoria,move_block
1,,no_clone,
12,,no_clone,
68,,no_clone,
69,,no_clone,
71,,no_clone,
112,,no_clone,
119,,no_clone,
126,,no_clone,
127,,no_clone,
128,,no_clone,
129,,no_clone,
130,,no_clone,
131,,no_clone,
134,,no_clone,
154,,no_clone,
165,,no_clone,
167,,no_clone,
169,,no_clone,
171,ResetOperation_0,review with at least one clone,mesmo arquivo
172,,no_clone,
173,,no_clone,
193,,no_clone,
204,,no_clone,
207,,no_clone,
208,,no_clone,
217,,no_clone,
220,,no_clone,
221,,no_clone,
222,,no_clone,
223,,no_clone,
224,,no_clone,
226,,no_clone,
227,,no_clone,
230,,no_clone,
245,,no_clone,
253,,no_clone,
261,,no_clone,
267,,no_clone,
268,,no_clone,
271,,no_clone,
272,,no_clone,
275,,no_clone,
296,,no_clone,
297,,no_clone,
312,,no_clone,
314,,no_clone,
317,,no_clone,
318,,uninteresting_clone,
322,,no_clone,
323,,no_clone,
324,,no_clone,
327,,no_clone,
328,,no_clone,
329,,no_clone,
330,,no_clone,
333,,no_clone,
334,,no_clone,
349,,uninteresting_clone,
350,,no_clone,
352,,no_clone,
356,,no_clone,
357,,no_clone,
358,SourceBranchPage_0,review with at least one clone,arquivo diferente
358,RefSpecPage_1,review with at least one clone,arquivo diferente
359,ConfirmationPage_0,review with at least one clone,arquivo diferente
363,,no_clone,
364,,no_clone,
365,,no_clone,
366,,no_clone,
367,,no_clone,
368,,no_clone,
369,,no_clone,
370,,no_clone,
372,,no_clone,
375,,no_clone,
376,,no_clone,
391,,no_clone,
392,,no_clone,
395,BranchSelectionDialog_0,review with at least one clone,mesmo arquivo
395,BranchSelectionDialog_1,review with at least one clone,mesmo arquivo
401,,no_clone,
509,,no_clone,
511,,no_clone,
512,,no_clone,
513,,no_clone,
514,,no_clone,
520,,no_clone,
525,,no_clone,
529,,no_clone,
532,,no_clone,
539,,no_clone,
540,,no_clone,
542,,no_clone,
545,,no_clone,
546,CommitAction_15,review with at least one clone,mesmo arquivo
546,RepositorySelection_18,review with at least one clone,mesmo arquivo
547,,no_clone,
548,,no_clone,
