review_number,block,categoria,tipo,duracao,distancia,move_block
3,RefLogWriter_1,recorrente,ini/mei/final,1.0,0,mesmo arquivo
33,Main_0,recorrente,ini/mei/final,1.0,0,arquivo diferente
152,TemporaryBuffer_3,recorrente,ini/mei/final,1.0,0,mesmo arquivo
194,Repository_20,recorrente,ini/mei/final,1.0,0,mesmo arquivo
234,RefAdvertiser_0,recorrente,ini/mei/final,1.0,0,arquivo diferente
236,Repository_30,recorrente,ini/mei/final,1.0,0,mesmo arquivo
293,PushProcess_6,recorrente,ini/mei/final,1.0,0,mesmo arquivo
347,PushProcess_15,recorrente,ini/mei/final,1.0,0,mesmo arquivo
528,Repository_0,individual,unique/ini,0.5,0,mesmo arquivo
705,WindowCache_1,recorrente,ini/mei/final,1.0,0,arquivo diferente
836,Repository_1,individual,unique/mei,0.1,0.4,mesmo arquivo
859,Repository_8,recorrente,ini/mei,0.8571428571428571,0,mesmo arquivo
859,FileRepository_0_rev_6,individual,unique/final,0.14285714285714285,1.0,mesmo arquivo
860,CommitCommand_5,recorrente,ini/mei/final,1.0,0,mesmo arquivo
890,MutableObjectId_3,individual,unique/ini,0.16666666666666666,0,mesmo arquivo
915,ObjectDirectory_6,recorrente,ini/mei/final,1.0,0,mesmo arquivo
922,MutableObjectId_0,recorrente,ini/mei/final,1.0,0,mesmo arquivo
1048,RenameDetector_17,individual,unique/final,0.5,1.0,mesmo arquivo
1077,RevWalk_1,individual,unique/final,0.3333333333333333,1.0,mesmo arquivo
1077,RevWalk_0,individual,unique/final,0.3333333333333333,1.0,mesmo arquivo
1085,DiffFormatter_0,recorrente,ini/mei,0.4,0,mesmo arquivo
1085,HunkHeader_3,recorrente,ini/mei/final,1.0,0,mesmo arquivo
1130,RenameDetector_4,recorrente,ini/mei/final,1.0,0,mesmo arquivo
1147,AddCommand_1,recorrente,mei/final,0.5714285714285714,0.5714285714285714,mesmo arquivo
1152,GitIndex_1,recorrente,ini/mei,0.5,0,arquivo diferente
1156,AbstractTreeIteratorHandler_0,individual,unique/ini,0.2,0,mesmo arquivo
1188,PackWriter_5,recorrente,ini/mei/final,1.0,0,mesmo arquivo
1320,PackWriter_3,recorrente,mei,0.16666666666666666,0.16666666666666666,mesmo arquivo
1320,PackWriter_6,recorrente,mei/final,0.5,0.5833333333333334,mesmo arquivo
1324,PersonIdent_2,individual,unique/ini,0.2,0,mesmo arquivo
1324,Tag_3,individual,unique/mei,0.2,0.4,mesmo arquivo
1629,ResolveMerger_1,recorrente,mei/final,0.8,0.4,mesmo arquivo
1629,ResolveMerger_2,recorrente,mei/final,0.8,0.4,mesmo arquivo
1639,PatienceDiff_2,recorrente,ini/mei/final,1.0,0,mesmo arquivo
1644,HistogramDiff_3,recorrente,ini/mei/final,1.0,0,arquivo diferente
1662,HistogramDiff_0,recorrente,ini/mei/final,1.0,0,arquivo diferente
1662,PatienceDiff_4,individual,unique/ini,0.3333333333333333,0,arquivo diferente
1690,URIish_3,recorrente,mei/final,0.8,0.4,mesmo arquivo
1703,URIish_1,recorrente,ini/mei/final,1.0,0,mesmo arquivo
1703,URIish_2,recorrente,ini/mei/final,1.0,0,mesmo arquivo
1727,DeleteBranchCommand_1,recorrente,ini/mei/final,1.0,0,arquivo diferente
1747,PullCommand_2,recorrente,ini/mei,0.5,0,mesmo arquivo
1747,PullCommand_1,individual,unique/ini,0.25,0,mesmo arquivo
1747,PullCommand_1_rev_1,individual,unique/mei,0.25,0.5,mesmo arquivo
1747,PullCommand_2_rev_2,recorrente,mei/final,0.5,0.75,mesmo arquivo
1779,IndexDiff_0,individual,unique/ini,0.3333333333333333,0,mesmo arquivo
1948,StringUtils_2,recorrente,mei/final,0.6666666666666666,0.6666666666666666,mesmo arquivo
2109,WorkingTreeIterator_1,individual,unique/ini,0.5,0,mesmo arquivo
2109,WorkingTreeIterator_1_rev_1,individual,unique/final,0.5,1.0,mesmo arquivo
2172,IndexPack_2,individual,unique/mei,0.2,0.4,mesmo arquivo
2172,IndexPack_3,individual,unique/mei,0.2,0.4,mesmo arquivo
2172,IndexPack_1,individual,unique/mei,0.2,0.4,mesmo arquivo
2177,FileRepository_2,individual,unique/ini,0.25,0,mesmo arquivo
2177,FileRepository_3,recorrente,mei/final,0.75,0.5,mesmo arquivo
2177,FileRepository_2_rev_1,recorrente,mei/final,0.75,0.5,mesmo arquivo
2205,PackFile_5,individual,unique/mei,0.16666666666666666,0.3333333333333333,mesmo arquivo
2205,PackFile_5_rev_2,individual,unique/mei,0.16666666666666666,0.5,mesmo arquivo
2252,PackParser_12,individual,unique/ini,0.3333333333333333,0,arquivo diferente
2252,PackParser_10,individual,unique/ini,0.3333333333333333,0,arquivo diferente
2252,PackParser_11,individual,unique/ini,0.3333333333333333,0,arquivo diferente
2293,PackParser_0,recorrente,ini/mei/final,1.0,0,mesmo arquivo
2343,DirCacheCheckout_1,recorrente,ini/mei/final,1.0,0,mesmo arquivo
2365,PullCommand_2,recorrente,ini/mei/final,1.0,0,mesmo arquivo
2365,PullCommand_4,recorrente,ini/mei/final,1.0,0,mesmo arquivo
2365,PullCommand_3,recorrente,ini/mei/final,1.0,0,mesmo arquivo
2371,PullCommand_0,individual,unique/final,0.5,1.0,arquivo diferente
2666,FetchCommand_1,recorrente,ini/mei/final,1.0,0,ambos
2698,PackWriter_0,recorrente,ini/mei/final,1.0,0,mesmo arquivo
2722,CredentialsProviderUserInfo_0,recorrente,ini/mei,0.75,0,mesmo arquivo
2746,UploadPack_5_rev_1,recorrente,mei/final,0.8571428571428571,0.2857142857142857,mesmo arquivo
2782,PackWriter_2,recorrente,ini/mei/final,1.0,0,mesmo arquivo
2782,PackWriter_1,recorrente,ini/mei/final,1.0,0,mesmo arquivo
2996,Repository_3,recorrente,ini/mei/final,1.0,0,mesmo arquivo
3336,RebaseCommand_3,individual,unique/mei,0.125,0.25,mesmo arquivo
3409,ResolveMerger_1,recorrente,ini/mei/final,1.0,0,mesmo arquivo
3467,URIish_0,recorrente,ini/mei/final,1.0,0,mesmo arquivo
3486,DiffFormatter_1,recorrente,mei/final,0.5,0.75,mesmo arquivo
3553,CleanCommand_0,recorrente,ini/mei,0.5,0,mesmo arquivo
3593,MemRepositoryIndexTable_1,recorrente,ini/mei/final,1.0,0,mesmo arquivo
3593,CacheRepositoryIndexTable_0,recorrente,ini/mei/final,1.0,0,mesmo arquivo
3809,DirCacheCheckout_1,individual,unique/ini,0.2,0,mesmo arquivo
3809,DirCacheCheckout_2,recorrente,ini/mei,0.6,0,mesmo arquivo
3809,DirCacheCheckout_3,recorrente,ini/mei/final,1.0,0,mesmo arquivo
3809,DirCacheCheckout_4,recorrente,ini/mei/final,1.0,0,ambos
3809,ResolveMerger_7,recorrente,mei/final,0.6,0.6,mesmo arquivo
3809,DirCacheCheckout_3_rev_3,recorrente,mei/final,0.4,0.8,mesmo arquivo
3860,NoteMapMerger_2,recorrente,ini/mei/final,1.0,0,mesmo arquivo
3949,RebaseResult_3,recorrente,ini/mei/final,1.0,0,arquivo diferente
3949,RebaseResult_5,recorrente,ini/mei/final,1.0,0,arquivo diferente
3949,RebaseResult_4,recorrente,ini/mei/final,1.0,0,arquivo diferente
3997,PackWriter_8,individual,unique/mei,0.125,0.5,mesmo arquivo
3997,PackWriter_7,individual,unique/mei,0.125,0.5,mesmo arquivo
4177,MergeCommand_1,recorrente,mei/final,0.6666666666666666,0.5,mesmo arquivo
4178,CheckoutConflictException_0,individual,unique/mei,0.125,0.25,mesmo arquivo
4192,DirCacheCheckout_0,recorrente,ini/mei/final,1.0,0,mesmo arquivo
4366,ResolveMerger_1,recorrente,ini/mei,0.6666666666666666,0,mesmo arquivo
4366,ResolveMerger_0,recorrente,ini/mei/final,1.0,0,mesmo arquivo
4366,ResolveMerger_1_rev_2,individual,unique/final,0.3333333333333333,1.0,mesmo arquivo
4630,DfsReader_0,recorrente,ini/mei/final,1.0,0,mesmo arquivo
4721,OpenSshConfig_5,individual,unique/ini,0.3333333333333333,0,mesmo arquivo
4721,OpenSshConfig_2,individual,unique/ini,0.3333333333333333,0,ambos
4721,OpenSshConfig_4,individual,unique/ini,0.3333333333333333,0,mesmo arquivo
4721,OpenSshConfig_6,individual,unique/ini,0.3333333333333333,0,mesmo arquivo
4869,CheckoutCommand_0,individual,unique/ini,0.5,0,mesmo arquivo
4869,CheckoutCommand_0_rev_1,individual,unique/final,0.5,1.0,mesmo arquivo
4889,SubmoduleWalk_3,recorrente,mei,0.6666666666666666,0.3333333333333333,mesmo arquivo
4932,LsRemoteCommand_0,individual,unique/ini,0.14285714285714285,0,mesmo arquivo
4932,LsRemoteCommand_0_rev_1,recorrente,mei/final,0.8571428571428571,0.2857142857142857,mesmo arquivo
4995,Merge_0,recorrente,mei,0.16666666666666666,0.16666666666666666,mesmo arquivo
4995,CommitCommand_5,recorrente,mei/final,0.5833333333333334,0.5,mesmo arquivo
5029,SubmoduleWalk_2,individual,unique/ini,0.25,0,mesmo arquivo
5055,GC_2,individual,unique/ini,0.125,0,mesmo arquivo
5081,ReceiveCommand_1,recorrente,ini/mei,0.7142857142857143,0,arquivo diferente
5081,ReceiveCommand_0,recorrente,ini/mei,0.5714285714285714,0,arquivo diferente
5081,ReceiveCommand_1_rev_4,recorrente,mei/final,0.42857142857142855,0.7142857142857143,arquivo diferente
5081,ReceiveCommand_1_rev_5,recorrente,mei/final,0.2857142857142857,0.8571428571428571,arquivo diferente
5084,ReceivePack_3,individual,unique/ini,0.1111111111111111,0,mesmo arquivo
5084,ReceivePack_4,recorrente,ini/mei/final,1,0,arquivo diferente
5254,ReceivePack_2,individual,unique/ini,0.5,0,mesmo arquivo
5322,CheckoutCommand_1,recorrente,ini/mei,0.2857142857142857,0,mesmo arquivo
5322,CheckoutCommand_0,individual,unique/ini,0.14285714285714285,0,mesmo arquivo
5322,CheckoutCommand_0_rev_1,individual,unique/mei,0.14285714285714285,0.2857142857142857,mesmo arquivo
5322,CheckoutCommand_0_rev_2,recorrente,mei,0.5714285714285714,0.42857142857142855,mesmo arquivo
5322,CheckoutCommand_0_rev_6,individual,unique/final,0.14285714285714285,1.0,mesmo arquivo
5373,RebaseResult_1,recorrente,apa/des/apa,,0,arquivo diferente
5413,DirCache_0,individual,unique/ini,0.1111111111111111,0,mesmo arquivo
5413,DirCache_1,recorrente,mei/final,0.7777777777777778,0.3333333333333333,mesmo arquivo
6005,MergeCommand_5,individual,unique/mei,0.08333333333333333,0.3333333333333333,mesmo arquivo
6343,SubmoduleUpdateCommand_4,recorrente,ini/mei/final,1.0,0,mesmo arquivo
6361,TransportHttp_0,recorrente,ini/mei/final,1.0,0,mesmo arquivo
6361,TransportHttp_1,recorrente,ini/mei/final,1.0,0,mesmo arquivo
6502,SubmoduleWalk_0,recorrente,mei/final,0.5,0.75,mesmo arquivo
6544,TransportHttp_0,individual,unique/ini,0.0625,0,mesmo arquivo
6591,GitSmartHttpTools_5,recorrente,mei/final,0.2727272727272727,0.8181818181818182,mesmo arquivo
7115,SystemReader_0,individual,unique/final,0.25,1.0,arquivo diferente
7117,SystemReader_0,individual,unique/final,0.3333333333333333,1.0,mesmo arquivo
7259,DirCacheCheckout_1,recorrente,ini/mei/final,1.0,0,mesmo arquivo
7569,Repository_2,individual,unique/final,0.125,1.0,mesmo arquivo
7569,Repository_1,individual,unique/final,0.125,1.0,mesmo arquivo
7631,ShowRef_4,recorrente,ini/mei/final,1.0,0,ambos
7631,Blame_0,recorrente,ini/mei/final,1.0,0,mesmo arquivo
7631,LsRemote_2,individual,unique/ini,0.1111111111111111,0,arquivo diferente
7631,ShowDirCache_5,recorrente,ini/mei/final,1.0,0,mesmo arquivo
7723,ResolveMerger_0,individual,unique/ini,0.5,0,mesmo arquivo
7723,ResolveMerger_0_rev_1,individual,unique/final,0.5,1.0,mesmo arquivo
7939,NB_21,recorrente,ini/mei/final,1.0,0,mesmo arquivo
7939,PackBitmapIndexV1_7,individual,unique/mei,0.058823529411764705,0.35294117647058826,arquivo diferente
8113,ResolveMerger_1,individual,unique/mei,0.038461538461538464,0.07692307692307693,mesmo arquivo
8113,ResolveMerger_2,recorrente,mei,0.07692307692307693,0.11538461538461539,mesmo arquivo
8113,MergeCommand_0,recorrente,mei,0.07692307692307693,0.11538461538461539,mesmo arquivo
8113,ResolveMerger_1_rev_2,recorrente,mei/final,0.8461538461538461,0.19230769230769232,mesmo arquivo
8354,Repository_0,recorrente,ini/mei,0.3333333333333333,0,mesmo arquivo
8354,Repository_0_rev_2,recorrente,mei/final,0.6666666666666666,0.5,mesmo arquivo
8354,Repository_1,recorrente,mei/final,0.6666666666666666,0.5,mesmo arquivo
8632,Tag_1,recorrente,ini/mei/final,1.0,0,arquivo diferente
8851,TrackingRefUpdate_3,individual,unique/ini,0.25,0,mesmo arquivo
8851,RemoteRefUpdate_2,recorrente,ini/mei/final,1.0,0,mesmo arquivo
8851,PackConfig_0,individual,unique/ini,0.25,0,mesmo arquivo
8851,AmazonS3_1,recorrente,ini/mei/final,1.0,0,mesmo arquivo
8851,FileResolver_6,recorrente,ini/mei/final,1.0,0,mesmo arquivo
8851,PackConfig_1,recorrente,mei/final,0.75,0.5,mesmo arquivo
8851,WindowCacheConfig_0,recorrente,mei/final,0.75,0.5,mesmo arquivo
9379,DirCacheCheckout_3,recorrente,ini/mei,0.5526315789473685,0,mesmo arquivo
9408,CommitCommand_0,recorrente,ini/mei/final,1.0,0,mesmo arquivo
9607,PathFilterGroup_3,recorrente,ini/mei,0.625,0,mesmo arquivo
9607,PathFilterGroup_4,recorrente,mei/final,0.375,0.75,mesmo arquivo
9877,StashApplyCommand_6,recorrente,ini/mei/final,1.0,0,arquivo diferente
9877,StashApplyCommand_4,recorrente,ini/mei/final,1.0,0,ambos
11127,NameRevCommand_2,recorrente,ini/mei/final,1.0,0,mesmo arquivo
11296,GarbageCollectCommand_0,recorrente,ini/mei,0.3333333333333333,0,mesmo arquivo
11296,GarbageCollectCommand_0_rev_2,recorrente,mei/final,0.6666666666666666,0.5,mesmo arquivo
11321,DirCacheCheckout_0,recorrente,mei/final,0.75,0.5,mesmo arquivo
11757,StashCreateCommand_2,recorrente,ini/mei/final,1.0,0,mesmo arquivo
12501,ResolveMerger_0,recorrente,ini/mei,0.7142857142857143,0,mesmo arquivo
12501,ResolveMerger_0_rev_5,recorrente,mei/final,0.2857142857142857,0.8571428571428571,mesmo arquivo
12672,GC_0,individual,unique/ini,0.5,0,mesmo arquivo
12672,GC_1,individual,unique/final,0.5,1.0,mesmo arquivo
12672,GC_0_rev_1,individual,unique/final,0.5,1.0,mesmo arquivo
12701,CommitCommand_2,recorrente,mei/final,0.8,0.4,mesmo arquivo
12701,CommitCommand_3,recorrente,mei/final,0.8,0.4,arquivo diferente
12701,CommitCommand_1,individual,unique/mei,0.2,0.4,mesmo arquivo
12701,CommitCommand_1_rev_2,recorrente,mei/final,0.6,0.6,mesmo arquivo
14002,UploadPack_2,recorrente,ini/mei/final,1.0,0,mesmo arquivo
14725,TransportBundleFile_1,recorrente,ini/mei/final,1.0,0,mesmo arquivo
14898,UploadPack_0,recorrente,ini/mei,0.75,0,mesmo arquivo
14898,UploadPack_0_rev_3,individual,unique/final,0.25,1.0,mesmo arquivo
15123,HttpSupport_4,recorrente,ini/mei/final,1.0,0,mesmo arquivo
15364,ResetCommand_3,recorrente,mei/final,0.6666666666666666,0.6666666666666666,mesmo arquivo
17643,RebaseResult_0,recorrente,ini/mei/final,1.0,0,arquivo diferente
18970,ResolveMerger_0,recorrente,ini/mei,0.4,0,mesmo arquivo
18970,ResolveMerger_1,recorrente,mei/final,0.6,0.6,mesmo arquivo
18970,ResolveMerger_0_rev_2,recorrente,mei/final,0.6,0.6,mesmo arquivo
18977,RebaseResult_1,recorrente,ini/mei/final,1.0,0,arquivo diferente
21181,TextBuiltin_1,recorrente,mei/final,0.5,0.6666666666666666,mesmo arquivo
22059,DiffFormatter_0,recorrente,ini/mei,0.5,0,mesmo arquivo
22059,DiffFormatter_1,recorrente,mei/final,0.5,0.75,mesmo arquivo
22090,HttpSupport_6,recorrente,ini/mei/final,1.0,0,mesmo arquivo
22160,DirCacheCheckout_1,recorrente,mei,0.2727272727272727,0.6363636363636364,mesmo arquivo
22441,Clone_0,recorrente,ini/mei/final,1.0,0,mesmo arquivo
23200,DefaultNoteMerger_0,recorrente,ini/mei/final,1.0,0,mesmo arquivo
23230,DirCacheCheckout_0,individual,unique/ini,0.3333333333333333,0,mesmo arquivo
24680,RepoCommand_1,recorrente,mei/final,0.8333333333333334,0.3333333333333333,mesmo arquivo
26212,StashCreateCommand_5,recorrente,ini/mei/final,1.0,0,mesmo arquivo
27143,LsRemoteCommand_0,individual,unique/ini,0.25,0,mesmo arquivo
27143,LsRemoteCommand_0_rev_1,individual,unique/mei,0.25,0.5,mesmo arquivo
27143,LsRemoteCommand_0_rev_2,individual,unique/mei,0.25,0.75,mesmo arquivo
27324,RepositoryBuilder_0,individual,unique/final,0.5,1.0,arquivo diferente
27621,Repository_3,recorrente,ini/mei,0.4,0,mesmo arquivo
27621,CherryPickCommand_2,recorrente,ini/mei/final,1.0,0,mesmo arquivo
28080,RepoCommand_0,individual,unique/ini,0.3333333333333333,0,arquivo diferente
28080,RepoCommand_0_rev_1,recorrente,mei/final,0.6666666666666666,0.6666666666666666,mesmo arquivo
30326,DirCacheCheckout_1,recorrente,mei/final,0.6666666666666666,0.6666666666666666,mesmo arquivo
31604,PackParser_3,recorrente,ini/mei,0.5,0,mesmo arquivo
31604,PackParser_3_rev_2,recorrente,mei/final,0.5,0.75,mesmo arquivo
35079,RevWalk_0,individual,unique/ini,0.5,0,mesmo arquivo
35665,WorkingTreeIterator_9,recorrente,ini/mei,0.8333333333333334,0,mesmo arquivo
35665,WorkingTreeIterator_11,individual,unique/final,0.16666666666666666,1.0,mesmo arquivo
35815,RebaseCommand_1,individual,unique/ini,0.08333333333333333,0,arquivo diferente
35815,RebaseCommand_0,individual,unique/ini,0.08333333333333333,0,arquivo diferente
35815,RebaseCommand_0_rev_1,recorrente,mei,0.5833333333333334,0.4166666666666667,arquivo diferente
36097,ReceivePack_1,recorrente,ini/mei,0.5,0,mesmo arquivo
36097,ReceivePack_2,recorrente,ini/mei,0.5,0,mesmo arquivo
36191,IndexDiff_0,recorrente,ini/mei/final,1.0,0,mesmo arquivo
36964,BaseReceivePack_1,recorrente,ini/mei/final,1.0,0,mesmo arquivo
37382,LsRemote_1,individual,unique/ini,0.5,0,arquivo diferente
37382,LsRemote_2,individual,unique/final,0.5,1.0,arquivo diferente
37981,CloneCommand_3,recorrente,mei/final,0.5,0.75,arquivo diferente
38076,IndexDiff_5,recorrente,ini/mei/final,1.0,0,mesmo arquivo
40463,RevWalk_2,recorrente,ini/mei/final,1.0,0,arquivo diferente
40463,SubmoduleWalk_3,recorrente,ini/mei/final,1.0,0,arquivo diferente
40463,PackWriter_1,individual,unique/ini,0.16666666666666666,0,arquivo diferente
