review_number,categoria,move_block
4,,no_clone,
13,,no_clone,
15,,no_clone,
16,,no_clone,
25,,no_clone,
26,,no_clone,
27,,no_clone,
28,,no_clone,
29,,no_clone,
30,,no_clone,
31,,no_clone,
42,,no_clone,
51,,no_clone,
52,,no_clone,
53,,no_clone,
54,,no_clone,
55,,no_clone,
56,,no_clone,
57,,no_clone,
58,,no_clone,
65,,no_clone,
66,,no_clone,
74,,no_clone,
75,,no_clone,
77,,no_clone,
78,,no_clone,
79,,no_clone,
80,,no_clone,
81,,no_clone,
82,,no_clone,
90,,no_clone,
91,,no_clone,
97,,no_clone,
99,,no_clone,
100,,no_clone,
101,,no_clone,
104,,no_clone,
106,,no_clone,
107,,no_clone,
110,,no_clone,
111,,no_clone,
138,,no_clone,
139,,no_clone,
143,Constants_0,review with at least one clone,mesmo arquivo
144,DirCache_1,review with at least one clone,mesmo arquivo
144,DirCacheEntry_5,review with at least one clone,mesmo arquivo
145,AbstractTreeIterator_1,review with at least one clone,mesmo arquivo
155,,no_clone,
158,,no_clone,
163,,no_clone,
164,,no_clone,
174,,no_clone,
180,,no_clone,
181,,no_clone,
186,,no_clone,
187,,no_clone,
188,,no_clone,
189,,no_clone,
190,,no_clone,
191,,no_clone,
192,,no_clone,
198,,no_clone,
200,,no_clone,
202,,no_clone,
209,,no_clone,
213,,no_clone,
214,,no_clone,
215,,no_clone,
216,,no_clone,
218,,no_clone,
219,,no_clone,
225,,no_clone,
229,,no_clone,
233,,no_clone,
235,Repository_27,review with at least one clone,mesmo arquivo
237,,no_clone,
238,,no_clone,
239,,uninteresting_clone,
240,TransportGitSsh_0,review with at least one clone,mesmo arquivo
241,,no_clone,
242,,no_clone,
243,,no_clone,
249,,no_clone,
252,,no_clone,
254,,no_clone,
255,,no_clone,
256,,no_clone,
257,,no_clone,
258,,no_clone,
259,,no_clone,
260,,no_clone,
265,,no_clone,
270,,no_clone,
274,,no_clone,
278,,no_clone,
279,,no_clone,
281,,no_clone,
283,,no_clone,
284,,no_clone,
285,,no_clone,
286,,no_clone,
294,,no_clone,
299,,no_clone,
343,,no_clone,
345,,no_clone,
346,,no_clone,
355,,no_clone,
377,,no_clone,
378,,no_clone,
379,,no_clone,
390,,no_clone,
393,,no_clone,
394,,no_clone,
396,,no_clone,
526,,no_clone,
538,,no_clone,
541,,no_clone,
543,,no_clone,
550,,no_clone,
559,,no_clone,
568,,no_clone,
569,,no_clone,
570,,no_clone,
571,,no_clone,
572,,no_clone,
573,,no_clone,
