review_number,block,categoria,tipo,duracao,distancia,move_block
10965,BindingService_0,individual,unique/ini,0.5,0,mesmo arquivo
11513,StackRenderer_2,recorrente,mei/final,0.42857142857142855,0.7142857142857143,ambos
11686,CommandToModelProcessor_6,recorrente,mei/final,0.5714285714285714,0.5714285714285714,arquivo diferente
11686,E4HandlerProxy_11,recorrente,mei/final,0.5714285714285714,0.5714285714285714,arquivo diferente
12027,WorkbenchMenuService_2,recorrente,ini/mei/final,1.0,0,arquivo diferente
12028,WorkbenchMenuService_6,recorrente,mei/final,0.5,0.75,arquivo diferente
12595,WorkbenchPage_0,recorrente,ini/mei/final,1.0,0,mesmo arquivo
12596,TrimStack_1,recorrente,mei/final,0.5,0.75,mesmo arquivo
12596,TrimStack_2,recorrente,mei/final,0.5,0.75,mesmo arquivo
12596,TrimStack_3,recorrente,mei/final,0.5,0.75,mesmo arquivo
12596,TrimStack_4,recorrente,mei/final,0.5,0.75,mesmo arquivo
12596,TrimStack_5,recorrente,mei/final,0.5,0.75,mesmo arquivo
12596,TrimStack_6,recorrente,mei/final,0.5,0.75,mesmo arquivo
12779,CoolBarToTrimManager_0,recorrente,ini/mei/final,1.0,0,arquivo diferente
12784,SaveableHelper_0,recorrente,ini/mei/final,1.0,0,mesmo arquivo
12784,WorkbenchPage_6,recorrente,ini/mei/final,1.0,0,arquivo diferente
12784,WorkbenchPage_7,recorrente,ini/mei/final,1.0,0,arquivo diferente
12784,WorkbenchPage_8,recorrente,ini/mei/final,1.0,0,arquivo diferente
12819,CoolBarToTrimManager_0,recorrente,mei,0.4,0.4,mesmo arquivo
12819,CoolBarToTrimManager_1,recorrente,mei,0.4,0.4,arquivo diferente
12840,StackRenderer_1,recorrente,ini/mei/final,1.0,0,arquivo diferente
12840,StackRenderer_2,recorrente,ini/mei/final,1.0,0,arquivo diferente
12840,StackRenderer_3,recorrente,ini/mei/final,1.0,0,arquivo diferente
13052,WorkbenchWindow_0,recorrente,mei,0.2222222222222222,0.2222222222222222,arquivo diferente
13056,PartServiceImpl_1,recorrente,ini/mei/final,1.0,0,mesmo arquivo
14093,DirectContributionItem_0,individual,unique/ini,0.3333333333333333,0,arquivo diferente
14093,ToolItemRenderer_1,individual,unique/ini,0.3333333333333333,0,arquivo diferente
14093,DirectContributionItem_0_rev_1,recorrente,mei/final,0.6666666666666666,0.6666666666666666,arquivo diferente
14093,ToolItemRenderer_1_rev_1,recorrente,mei/final,0.6666666666666666,0.6666666666666666,arquivo diferente
14748,WorkbookEditorsHandler_1,recorrente,ini/mei/final,1.0,0,mesmo arquivo
15259,ViewerCell_1,recorrente,mei/final,0.42857142857142855,0.7142857142857143,ambos
15981,ToolbarThemeProcessor_1,recorrente,ini/mei,0.3333333333333333,0,arquivo diferente
15981,ToolbarThemeProcessor_2,recorrente,ini/mei,0.3333333333333333,0,arquivo diferente
16068,TasksView_6,recorrente,mei/final,0.5,0.75,arquivo diferente
16191,MinMaxAddon_2,recorrente,ini/mei/final,1.0,0,mesmo arquivo
16191,MinMaxAddon_4,recorrente,ini/mei/final,1.0,0,mesmo arquivo
16191,MinMaxAddon_6,recorrente,ini/mei/final,1.0,0,mesmo arquivo
16301,StructuredViewer_1,recorrente,mei,0.25,0.25,mesmo arquivo
16301,StructuredViewer_2,recorrente,mei,0.25,0.25,mesmo arquivo
16719,WorkbenchPartReference_0,recorrente,ini/mei,0.2222222222222222,0,mesmo arquivo
16719,AbstractCSSEngine_0,individual,unique/mei,0.1111111111111111,0.5555555555555556,mesmo arquivo
16726,IDEWorkspacePreferencePage_0,recorrente,ini/mei,0.6666666666666666,0,ambos
16726,IDEWorkspacePreferencePage_0_rev_4,recorrente,mei/final,0.3333333333333333,0.8333333333333334,ambos
16881,WorkbenchThemeManager_1,individual,unique/ini,0.3333333333333333,0,mesmo arquivo
16881,WorkbenchThemeManager_0,individual,unique/mei,0.3333333333333333,0.6666666666666666,mesmo arquivo
16881,WorkbenchThemeManager_0_rev_2,individual,unique/final,0.3333333333333333,1.0,mesmo arquivo
17839,LegacyHandlerService_0,individual,unique/final,0.5,1.0,mesmo arquivo
17839,LegacyHandlerService_1,individual,unique/final,0.5,1.0,mesmo arquivo
17839,LegacyHandlerService_2,individual,unique/final,0.5,1.0,mesmo arquivo
17839,LegacyHandlerService_3,individual,unique/final,0.5,1.0,mesmo arquivo
18343,BasicPackageImpl_4,recorrente,ini/mei/final,1.0,0,ambos
18449,FontRegistry_6,individual,unique/mei,0.125,0.75,mesmo arquivo
18449,ThemeRegistry_12,individual,unique/mei,0.125,0.75,mesmo arquivo
18607,StackDropAgent_2,recorrente,ini/mei/final,1.0,0,mesmo arquivo
18873,Workbench_0,individual,unique/ini,0.25,0,mesmo arquivo
19046,WizardFileSystemResourceImportPage1_4,recorrente,ini/mei/final,1.0,0,arquivo diferente
19058,CleanupAddon_0,recorrente,ini/mei/final,1.0,0,mesmo arquivo
19058,CleanupAddon_1,recorrente,ini/mei,0.4,0,mesmo arquivo
19058,CleanupAddon_6,recorrente,ini/mei,0.4,0,mesmo arquivo
19058,CleanupAddon_8,recorrente,ini/mei,0.4,0,mesmo arquivo
19058,CleanupAddon_1_rev_2,recorrente,mei/final,0.6,0.6,mesmo arquivo
19058,CleanupAddon_2,recorrente,mei/final,0.6,0.6,mesmo arquivo
19058,CleanupAddon_3_rev_2,recorrente,mei/final,0.6,0.6,mesmo arquivo
19202,IDEApplication_0,recorrente,ini/mei/final,1.0,0,mesmo arquivo
19283,ContentTypesPreferencePage_3,recorrente,ini/mei/final,1.0,0,mesmo arquivo
19283,ContentTypesPreferencePage_5,recorrente,ini/mei/final,1.0,0,mesmo arquivo
19283,EditorRegistry_9,recorrente,ini/mei/final,1.0,0,mesmo arquivo
19687,IDEApplication_1,individual,unique/ini,0.05263157894736842,0,mesmo arquivo
19687,IDEApplication_1_rev_1,individual,unique/mei,0.05263157894736842,0.10526315789473684,mesmo arquivo
19687,IDEApplication_1_rev_2,recorrente,mei,0.15789473684210525,0.15789473684210525,mesmo arquivo
19687,IDEApplication_4,individual,unique/mei,0.05263157894736842,0.631578947368421,arquivo diferente
19687,IDEApplication_4_rev_12,individual,unique/mei,0.05263157894736842,0.6842105263157895,arquivo diferente
19746,CategoryImpl_1,recorrente,ini/mei/final,1.0,0,arquivo diferente
19746,CommandImpl_3,recorrente,ini/mei/final,1.0,0,arquivo diferente
19746,PartDescriptorImpl_5,recorrente,ini/mei/final,1.0,0,arquivo diferente
19746,UIElementImpl_12,recorrente,ini/mei/final,1.0,0,arquivo diferente
20715,ToolBarManagerRenderer_1,individual,unique/mei,0.2,0.6,arquivo diferente
20715,ToolBarContributionRecord_1,recorrente,mei/final,0.4,0.8,arquivo diferente
