review_number,categoria,move_block
10693,,no_clone,
10847,,no_clone,
10851,,no_clone,
10985,,uninteresting_clone,
10993,,no_clone,
11060,,no_clone,
11200,,no_clone,
11252,,no_clone,
11292,,no_clone,
11389,,no_clone,
11436,,no_clone,
11437,,no_clone,
11438,,no_clone,
11546,,no_clone,
11598,,no_clone,
11603,,no_clone,
11638,,no_clone,
11789,StackRenderer_0,review with at least one clone,arquivo diferente
11875,,no_clone,
11923,,no_clone,
11924,,no_clone,
12077,,no_clone,
12131,,no_clone,
12253,,no_clone,
12494,,no_clone,
12535,,no_clone,
12629,,no_clone,
12652,,no_clone,
12762,,no_clone,
12763,,no_clone,
12824,,no_clone,
12832,,no_clone,
12833,,no_clone,
12892,,no_clone,
13029,,no_clone,
13086,SaveableHelper_2,review with at least one clone,mesmo arquivo
13086,WorkbenchPage_8,review with at least one clone,arquivo diferente
13086,WorkbenchPage_9,review with at least one clone,arquivo diferente
13087,,no_clone,
13370,,no_clone,
13506,,no_clone,
13508,,no_clone,
13622,,no_clone,
13651,,no_clone,
13737,,no_clone,
14013,,no_clone,
14015,,no_clone,
14469,,no_clone,
14574,,no_clone,
14621,,no_clone,
14685,,no_clone,
14988,,no_clone,
15029,,no_clone,
15036,,no_clone,
15049,,no_clone,
15077,,no_clone,
15078,,no_clone,
15087,,no_clone,
15090,,no_clone,
15114,,no_clone,
15373,,no_clone,
15414,,uninteresting_clone,
15416,,no_clone,
15445,,no_clone,
15471,,no_clone,
15602,,no_clone,
15649,,no_clone,
15666,,no_clone,
15701,,no_clone,
15715,,no_clone,
15755,,no_clone,
15776,,no_clone,
15778,,no_clone,
15781,,no_clone,
15860,,no_clone,
15986,,no_clone,
16194,,no_clone,
16266,,no_clone,
16267,,no_clone,
16268,,no_clone,
16275,,no_clone,
16300,,no_clone,
16351,,no_clone,
16352,,no_clone,
16493,,no_clone,
16539,,no_clone,
16541,,no_clone,
16544,,no_clone,
16584,,no_clone,
16727,,no_clone,
16849,WorkbenchThemeManager_0,review with at least one clone,mesmo arquivo
16849,WorkbenchThemeManager_1,review with at least one clone,mesmo arquivo
17012,,no_clone,
17111,,no_clone,
17239,,no_clone,
17391,,no_clone,
17861,,no_clone,
17869,,no_clone,
17885,,no_clone,
17934,,no_clone,
18207,,no_clone,
18208,,no_clone,
18246,,no_clone,
18316,,no_clone,
18319,,no_clone,
18320,,no_clone,
18322,,no_clone,
18379,,no_clone,
18487,,no_clone,
18489,,no_clone,
18503,,no_clone,
18516,,no_clone,
18567,,no_clone,
18579,,no_clone,
18617,,no_clone,
18623,,no_clone,
18690,,no_clone,
18834,,no_clone,
18835,,no_clone,
18842,,no_clone,
19007,AbstractCSSEngine_0,review with at least one clone,mesmo arquivo
19010,,no_clone,
19073,,no_clone,
19128,,no_clone,
19132,,no_clone,
19151,,no_clone,
19257,,no_clone,
19296,,no_clone,
19301,,no_clone,
19644,,no_clone,
19648,,no_clone,
19923,,no_clone,
19969,,no_clone,
20038,,no_clone,
20059,,no_clone,
20122,,no_clone,
