review_number,block,categoria,tipo,duracao,distancia,move_block
25,MemcachedConnection_0,recorrente,ini/mei,0.5,0,mesmo arquivo
25,MemcachedConnection_0_rev_2,recorrente,mei/final,0.5,0.75,mesmo arquivo
5206,KetamaNodeLocator_1,recorrente,ini/mei/final,1.0,0,mesmo arquivo
6778,BaseGetOpImpl_4,recorrente,ini/mei,0.7142857142857143,0,mesmo arquivo
6778,MemcachedClient_0,individual,unique/ini,0.14285714285714285,0,mesmo arquivo
6778,MemcachedClient_1,individual,unique/ini,0.14285714285714285,0,mesmo arquivo
6778,MemcachedClient_0_rev_1,individual,unique/mei,0.14285714285714285,0.2857142857142857,mesmo arquivo
6778,MemcachedClient_1_rev_1,individual,unique/mei,0.14285714285714285,0.2857142857142857,mesmo arquivo
6778,MemcachedClient_0_rev_2,recorrente,mei,0.42857142857142855,0.42857142857142855,mesmo arquivo
6778,MemcachedClient_1_rev_2,recorrente,mei,0.42857142857142855,0.42857142857142855,mesmo arquivo
6778,MemcachedClient_0_rev_5,individual,unique/mei,0.14285714285714285,0.8571428571428571,mesmo arquivo
6778,MemcachedClient_0_rev_6,individual,unique/final,0.14285714285714285,1.0,mesmo arquivo
6813,MemcachedClient_0,recorrente,ini/mei,0.5714285714285714,0,mesmo arquivo
6813,MemcachedClient_1,individual,unique/ini,0.14285714285714285,0,mesmo arquivo
6813,MemcachedClient_1_rev_1,recorrente,mei,0.2857142857142857,0.2857142857142857,mesmo arquivo
6813,MemcachedClient_1_rev_3,recorrente,mei,0.42857142857142855,0.5714285714285714,mesmo arquivo
6813,BaseGetOpImpl_3,recorrente,mei,0.2857142857142857,0.7142857142857143,arquivo diferente
6813,MemcachedClient_0_rev_4,recorrente,mei,0.2857142857142857,0.7142857142857143,mesmo arquivo
6813,BaseGetOpImpl_4,individual,unique/final,0.14285714285714285,1.0,arquivo diferente
6813,MemcachedClient_0_rev_6,individual,unique/final,0.14285714285714285,1.0,mesmo arquivo
6813,MemcachedClient_1_rev_6,individual,unique/final,0.14285714285714285,1.0,mesmo arquivo
6815,MemcachedClient_2,recorrente,ini/mei/final,1.0,0,mesmo arquivo
6815,MemcachedConnection_6,recorrente,mei/final,0.4,0.8,mesmo arquivo
6823,MemcachedClient_0,recorrente,ini/mei,0.375,0,mesmo arquivo
6824,ConfigurationProviderHTTP_0,recorrente,ini/mei/final,1.0,0,arquivo diferente
6849,MemcachedClient_0,recorrente,ini/mei/final,1.0,0,mesmo arquivo
7048,MemcachedClient_0,recorrente,ini/mei,0.75,0,mesmo arquivo
7048,MembaseClient_0,individual,unique/mei,0.125,0.875,arquivo diferente
7048,MembaseClient_0_rev_7,individual,unique/final,0.125,1.0,arquivo diferente
7101,TCPMemcachedNodeImpl_0,individual,unique/ini,0.16666666666666666,0,arquivo diferente
7859,MemcachedClient_2,recorrente,ini/mei/final,1.0,0,ambos
7859,ProtocolBaseCase_8,recorrente,mei/final,0.375,0.75,mesmo arquivo
7898,TapClient_0,recorrente,ini/mei/final,1.0,0,mesmo arquivo
7969,ProtocolBaseCase_7,individual,unique/ini,0.5,0,mesmo arquivo
7969,MemcachedClient_4,recorrente,ini/mei/final,1.0,0,arquivo diferente
7969,ProtocolBaseCase_7_rev_1,individual,unique/final,0.5,1.0,mesmo arquivo
8239,ProtocolBaseCase_7,recorrente,ini/mei/final,1.0,0,mesmo arquivo
8239,ConnectionFactoryBuilder_0,individual,unique/ini,0.5,0,mesmo arquivo
8239,MemcachedClient_4,recorrente,ini/mei/final,1.0,0,arquivo diferente
8478,CouchbaseConnection_3,recorrente,ini/mei/final,1.0,0,arquivo diferente
8478,CouchbaseClient_0,recorrente,ini/mei/final,1.0,0,arquivo diferente
8478,CouchbaseConnection_2,recorrente,ini/mei/final,1.0,0,arquivo diferente
8478,MemcachedConnection_5,individual,unique/final,0.5,1.0,mesmo arquivo
8644,ViewOperationImpl_166,recorrente,ini/mei,0.2222222222222222,0,ambos
8644,MultiGetOperationImpl_131,recorrente,ini/mei,0.3333333333333333,0,ambos
8644,DefaultConfig_262,individual,unique/ini,0.1111111111111111,0,mesmo arquivo
8644,ResponseMessage_179,recorrente,ini/mei,0.2222222222222222,0,mesmo arquivo
8644,BucketMonitorPipelineFactory_218,individual,unique/ini,0.1111111111111111,0,mesmo arquivo
8644,VBucketNodeLocator_245,individual,unique/ini,0.1111111111111111,0,mesmo arquivo
8644,DefaultKetamaNodeLocatorConfiguration_210,individual,unique/ini,0.1111111111111111,0,mesmo arquivo
8644,WhalinTranscoder_207,individual,unique/ini,0.1111111111111111,0,ambos
8644,ConfigurationProviderHTTP_238,individual,unique/ini,0.1111111111111111,0,mesmo arquivo
8644,MultiGetOperationImpl_130,recorrente,ini/mei,0.3333333333333333,0,mesmo arquivo
8644,BaseGetOpImpl_102,recorrente,ini/mei,0.3333333333333333,0,mesmo arquivo
8644,BaseStoreOperationImpl_105,recorrente,ini/mei,0.3333333333333333,0,ambos
8644,ViewOperationImpl_167,recorrente,ini/mei,0.2222222222222222,0,ambos
8644,ResponseMessage_181,recorrente,ini/mei,0.2222222222222222,0,mesmo arquivo
8644,ConfigurationParserJSON_260,individual,unique/ini,0.1111111111111111,0,mesmo arquivo
8644,ViewsOperationImpl_172,recorrente,ini/mei,0.2222222222222222,0,ambos
8644,ViewOperationImpl_168,recorrente,ini/mei,0.2222222222222222,0,mesmo arquivo
8644,Bucket_246,individual,unique/ini,0.1111111111111111,0,mesmo arquivo
8644,BinaryMemcachedNodeImpl_121,recorrente,ini/mei,0.3333333333333333,0,mesmo arquivo
8644,TapMessagePrinter_48,recorrente,ini/mei,0.3333333333333333,0,mesmo arquivo
8644,ReducedOperationImpl_158,recorrente,ini/mei,0.2222222222222222,0,ambos
8644,SunLogger_67,recorrente,ini/mei,0.3333333333333333,0,mesmo arquivo
8644,ConfigurationProviderHTTP_234,individual,unique/ini,0.1111111111111111,0,mesmo arquivo
