review_number,categoria,move_block
269,,no_clone,
286,,no_clone,
287,,no_clone,
288,,no_clone,
289,,no_clone,
290,,no_clone,
416,,no_clone,
561,,no_clone,
569,BulkGetFuture_0,review with at least one clone,mesmo arquivo
569,BulkGetFuture_1,review with at least one clone,mesmo arquivo
569,BulkGetFuture_2,review with at least one clone,mesmo arquivo
571,BulkGetFuture_0,review with at least one clone,mesmo arquivo
571,BulkGetFuture_1,review with at least one clone,mesmo arquivo
571,BulkGetFuture_2,review with at least one clone,mesmo arquivo
572,BulkGetFuture_0,review with at least one clone,mesmo arquivo
572,BulkGetFuture_1,review with at least one clone,mesmo arquivo
572,BulkGetFuture_2,review with at least one clone,mesmo arquivo
574,BulkGetFuture_0,review with at least one clone,mesmo arquivo
574,BulkGetFuture_1,review with at least one clone,mesmo arquivo
574,BulkGetFuture_2,review with at least one clone,mesmo arquivo
629,,no_clone,
630,,no_clone,
919,,no_clone,
920,,no_clone,
935,,no_clone,
936,,no_clone,
1228,,no_clone,
2698,,no_clone,
2699,,no_clone,
2700,,no_clone,
2701,MemcachedConnection_1,review with at least one clone,mesmo arquivo
2702,MemcachedClient_2,review with at least one clone,mesmo arquivo
2896,,no_clone,
2897,,no_clone,
2898,,no_clone,
2899,MemcachedConnection_1,review with at least one clone,mesmo arquivo
2900,MemcachedClient_2,review with at least one clone,mesmo arquivo
2901,,no_clone,
2902,,no_clone,
2903,,no_clone,
2904,MemcachedConnection_1,review with at least one clone,mesmo arquivo
2905,MemcachedClient_2,review with at least one clone,mesmo arquivo
2907,,no_clone,
2908,,no_clone,
2909,,no_clone,
2910,MemcachedConnection_1,review with at least one clone,mesmo arquivo
2911,MemcachedClient_2,review with at least one clone,mesmo arquivo
3224,,no_clone,
3225,,no_clone,
3226,,no_clone,
3227,,no_clone,
3438,,no_clone,
3640,,no_clone,
3850,,no_clone,
3851,,no_clone,
3852,,no_clone,
4231,,no_clone,
4232,,no_clone,
4248,,no_clone,
5502,,no_clone,
6074,,no_clone,
6091,,no_clone,
6151,,no_clone,
6152,,no_clone,
6208,,no_clone,
6532,,no_clone,
6669,,no_clone,
6670,,no_clone,
6751,,no_clone,
6761,,no_clone,
6816,,no_clone,
6817,,no_clone,
6818,,no_clone,
6827,ConfigurationProviderHTTP_0,review with at least one clone,mesmo arquivo
6847,MemcachedClient_0,review with at least one clone,mesmo arquivo
6847,MemcachedClient_1,review with at least one clone,mesmo arquivo
6853,,no_clone,
6854,,no_clone,
6855,,no_clone,
6856,,no_clone,
6857,,no_clone,
6858,,no_clone,
6859,,no_clone,
6860,,no_clone,
6861,,no_clone,
6862,,no_clone,
6863,,no_clone,
6864,ConfigurationProviderHTTP_0,review with at least one clone,arquivo diferente
6865,,no_clone,
6866,,no_clone,
6867,MemcachedClient_0,review with at least one clone,mesmo arquivo
6868,,no_clone,
6880,MemcachedClient_0,review with at least one clone,mesmo arquivo
6920,,no_clone,
6950,,no_clone,
7007,,no_clone,
7039,,no_clone,
7045,,no_clone,
7103,,no_clone,
7104,,no_clone,
7108,,no_clone,
7576,,no_clone,
7587,,no_clone,
7642,,no_clone,
7643,,no_clone,
7647,,no_clone,
7649,,no_clone,
7651,,no_clone,
7672,,no_clone,
7778,,no_clone,
7779,,no_clone,
7781,,no_clone,
7783,,no_clone,
7846,,no_clone,
7881,,no_clone,
7890,,no_clone,
7931,,no_clone,
8004,,no_clone,
8006,,no_clone,
8074,,no_clone,
