review_number,block,block_chronology,block_position
12907,CouchbaseClient_0,unique/ini,mesmo arquivo
14959,ViewNode_0,ini/mei/final,mesmo arquivo
19584,ViewNode_0,unique/ini/mei/final,mesmo arquivo
19603,ViewConnection_1,unique/ini/mei/final,ambos
19603,ViewNode_2,unique/ini/mei/final,mesmo arquivo
19606,ViewConnection_1,ini/mei,ambos
19606,ViewNode_2,ini/mei/final,mesmo arquivo
19606,ViewConnection_1_rev_2,unique/final,ambos
20906,Query_0,unique/ini/mei/final,mesmo arquivo
21261,Query_1,unique/ini/mei/final,arquivo diferente
22048,CouchbaseClient_0,ini/mei/final,ambos
22308,CouchbaseClient_0,ini/mei/final,mesmo arquivo
22308,CouchbaseClient_1,ini/mei/final,mesmo arquivo
22445,BucketTool_5,unique/ini,mesmo arquivo
22445,BucketTool_6,mei/final,mesmo arquivo
22563,CouchbaseClient_0,ini/mei/final,mesmo arquivo
22563,CouchbaseClient_1,ini/mei/final,mesmo arquivo
23989,CouchbaseClient_4,ini/mei/final,mesmo arquivo
23989,CouchbaseClient_0,ini/mei/final,mesmo arquivo
23989,CouchbaseClient_1,ini/mei/final,mesmo arquivo
23989,CouchbaseProperties_6,ini/mei/final,mesmo arquivo
23989,CouchbaseClient_3,ini/mei/final,mesmo arquivo
23989,CouchbaseProperties_5,ini/mei/final,mesmo arquivo
23989,CouchbaseClient_2,ini/mei/final,mesmo arquivo
24750,VBucketNodeLocator_2,unique/mei,mesmo arquivo
24750,VBucketNodeLocator_2_rev_2,mei,mesmo arquivo
24750,VBucketNodeLocator_3,mei/final,mesmo arquivo
24818,CouchbaseClient_0,ini/mei/final,mesmo arquivo
24935,CouchbaseClient_0,ini/mei/final,mesmo arquivo
25107,CouchbaseConnectionFactory_0,ini/mei/final,mesmo arquivo
25415,ComplexKey_1,unique/ini,mesmo arquivo
25415,ComplexKey_0,unique/ini,mesmo arquivo
26556,BucketTool_4,unique/ini/mei/final,mesmo arquivo
26556,ClusterManager_1,unique/ini/mei/final,mesmo arquivo
26557,ClusterManager_1,ini/mei/final,mesmo arquivo
26557,BucketTool_3,ini/mei/final,mesmo arquivo
27065,CouchbaseMemcachedConnection_0,unique/ini,arquivo diferente
27065,CouchbaseMemcachedConnection_0_rev_1,mei/final,arquivo diferente
27309,ViewNode_0,ini/mei/final,mesmo arquivo
27309,Query_1,ini/mei/final,mesmo arquivo
28860,CouchbaseConnectionFactoryBuilder_1,ini/mei/final,mesmo arquivo
29541,CouchbaseClientIF_0,ini/mei/final,arquivo diferente
29848,CouchbaseClient_0,unique/ini,mesmo arquivo
29850,DefaultConfigFactory_1,ini/mei/final,mesmo arquivo
30009,CouchbaseClient_0,ini/mei/final,mesmo arquivo
30009,CouchbaseClient_1,ini/mei/final,mesmo arquivo
31017,ViewNode_5,unique/ini,mesmo arquivo
31017,ViewConnection_6,unique/mei,mesmo arquivo
31017,ViewConnection_3,unique/mei,arquivo diferente
31214,CouchbaseClient_1,mei/final,mesmo arquivo
31246,ClusterManager_5,unique/ini,mesmo arquivo
31246,ClusterManager_10,mei/final,arquivo diferente
31246,ClusterManager_11,mei,arquivo diferente
31246,ClusterManager_12,mei/final,arquivo diferente
31719,HttpResponseCallback_0,unique/ini/mei/final,mesmo arquivo
31719,VBucket_2,unique/ini/mei/final,mesmo arquivo
31719,DefaultConfigFactory_1,unique/ini/mei/final,mesmo arquivo
33884,CouchbaseClient_0,ini/mei/final,mesmo arquivo
33884,CouchbaseClient_1,ini/mei/final,mesmo arquivo
33884,CouchbaseClient_2,ini/mei/final,mesmo arquivo
36259,CouchbaseConnection_1,ini/mei/final,ambos
36779,CouchbaseMemcachedConnection_2,mei/final,arquivo diferente
36828,CouchbaseMemcachedConnection_1,ini/mei/final,arquivo diferente
36828,CouchbaseConnection_0,ini/mei/final,mesmo arquivo
37383,CouchbaseCluster_2,ini/mei/final,mesmo arquivo
37718,CouchbaseConnectionFactoryBuilder_1,ini/mei/final,mesmo arquivo
38364,BucketConfigurationProvider_0,ini/mei/final,mesmo arquivo
38866,CouchbaseConnection_0,ini/mei/final,mesmo arquivo
38881,CouchbaseBucket_2,ini/mei,mesmo arquivo
38881,CouchbaseBucket_8,ini/mei,mesmo arquivo
38881,CouchbaseBucket_6,ini/mei,mesmo arquivo
38881,CouchbaseBucket_4,unique/mei,mesmo arquivo
38881,ViewQueryMapper_12,mei/final,mesmo arquivo
38881,CouchbaseBucket_7_rev_2,mei/final,mesmo arquivo
38881,CouchbaseBucket_5,unique/mei,mesmo arquivo
38881,CouchbaseBucket_3_rev_2,unique/mei,mesmo arquivo
38881,CouchbaseBucket_8_rev_1,mei/final,mesmo arquivo
38881,CouchbaseBucket_6_rev_1,unique/mei,mesmo arquivo
38881,CouchbaseBucket_4_rev_3,mei/final,mesmo arquivo
38881,CouchbaseBucket_5_rev_3,mei/final,mesmo arquivo
38881,CouchbaseBucket_6_rev_3,mei/final,mesmo arquivo
38881,CouchbaseBucket_3_rev_3,unique/final,mesmo arquivo
39110,CouchbaseBucket_2,ini/mei/final,mesmo arquivo
39110,CouchbaseBucket_1,ini/mei/final,mesmo arquivo
39485,CouchbaseBucket_4,ini/mei/final,mesmo arquivo
39485,CouchbaseBucket_5,ini/mei/final,mesmo arquivo
39528,CouchbaseBucket_1,unique/ini/mei/final,mesmo arquivo
