review_number,block,block_chronology,block_position
36099,CouchbaseEnvironment_6,unique/ini/mei/final,mesmo arquivo
36214,BinaryCodec_4,unique/ini/mei/final,mesmo arquivo
36214,BinaryCodec_5,unique/ini/mei/final,mesmo arquivo
36215,BinaryCodec_5,unique/final,mesmo arquivo
36291,CouchbaseNode_6,unique/ini/mei/final,arquivo diferente
36841,DefaultConfigurationProvider_1,unique/ini/mei/final,mesmo arquivo
36896,CouchbaseEnvironment_3,unique/ini/mei/final,mesmo arquivo
37025,BinaryCodec_0,unique/ini/mei/final,mesmo arquivo
37034,DefaultNodeInfo_1,unique/ini/mei/final,mesmo arquivo
37313,DefaultConfigurationProvider_6,unique/ini/mei/final,mesmo arquivo
37491,BinaryCodec_0,unique/ini/mei/final,mesmo arquivo
37594,CouchbaseEnvironment_7,unique/ini/mei/final,mesmo arquivo
37703,ConfigLocator_13,unique/ini/mei/final,arquivo diferente
37772,CouchbaseNode_3,unique/ini/mei/final,mesmo arquivo
38200,ViewCodec_3,unique/ini/mei/final,mesmo arquivo
38200,ConfigLocator_9,unique/ini/mei/final,ambos
38964,RequestHandler_5,unique/ini/mei/final,mesmo arquivo
38964,RequestHandler_4,unique/ini/mei/final,mesmo arquivo
38964,AbstractEndpoint_7,unique/ini/mei/final,mesmo arquivo
38971,DefaultConfigurationProvider_1,unique/ini,mesmo arquivo
38971,DefaultConfigurationProvider_1_rev_1,mei/final,mesmo arquivo
38971,HttpRefresher_12,mei/final,mesmo arquivo
38971,AbstractBinaryResponse_17,unique/final,arquivo diferente
38971,AbstractCouchbaseResponse_16,unique/final,arquivo diferente
39112,BinaryCodec_1,unique/ini,mesmo arquivo
39112,BinaryCodec_4,mei/final,mesmo arquivo
39112,BinaryCodec_5,mei/final,mesmo arquivo
39263,BinaryCodec_2,unique/ini/mei/final,mesmo arquivo
39433,BinaryCodec_1,unique/ini/mei/final,mesmo arquivo
39741,ConfigCodec_3,unique/ini,mesmo arquivo
39741,PartitionSelectionStrategy_16,apa/des/apa,mesmo arquivo
39741,CouchbaseNode_16,apa/des/apa,ambos
40796,DefaultConfigurationProvider_0,unique/ini/mei/final,arquivo diferente
40826,CouchbaseCore_0,unique/ini/mei/final,mesmo arquivo
40834,ConfigLocator_2,unique/ini/mei/final,ambos
40879,AbstractService_1,unique/ini/mei/final,mesmo arquivo
40879,AbstractService_0,unique/ini/mei/final,mesmo arquivo
40970,DefaultMemcachedBucketConfig_0,unique/ini/mei/final,arquivo diferente
41436,DefaultCoreEnvironment_1,ini/mei/final,mesmo arquivo
42230,RequestHandler_0,ini/mei/final,mesmo arquivo
42292,ResponseEvent_1,ini/mei/final,arquivo diferente
42292,RequestEvent_0,ini/mei/final,arquivo diferente
43128,AbstractService_11,ini/mei/final,mesmo arquivo
43128,AbstractCouchbaseLogger_7,ini/mei/final,mesmo arquivo
43128,AbstractCouchbaseLogger_5,ini/mei/final,mesmo arquivo
43128,AbstractService_12,ini/mei/final,mesmo arquivo
43128,AbstractCouchbaseLogger_8,ini/mei/final,mesmo arquivo
43128,AbstractBinaryMemcacheDecoder_14,ini/mei/final,mesmo arquivo
43128,DefaultCouchbaseBucketConfig_4,ini/mei/final,mesmo arquivo
43128,AbstractBinaryMemcacheDecoder_15,ini/mei/final,mesmo arquivo
43128,AbstractCouchbaseLogger_6,ini/mei/final,mesmo arquivo
43128,DefaultCouchbaseBucketConfig_3,ini/mei/final,mesmo arquivo
43128,CouchbaseCore_0,ini/mei/final,mesmo arquivo
43128,AbstractBinaryMemcacheDecoder_13,ini/mei/final,mesmo arquivo
43128,DefaultConfigurationProvider_2,ini/mei/final,mesmo arquivo
43128,AbstractCouchbaseLogger_10,ini/mei/final,mesmo arquivo
43128,AbstractCouchbaseLogger_9,ini/mei/final,mesmo arquivo
43474,AbstractService_0,ini/mei/final,mesmo arquivo
43477,ConfigHandler_0,ini/mei/final,mesmo arquivo
44521,Observe_1,ini/mei/final,mesmo arquivo
44748,HttpRefresher_1,ini/mei/final,mesmo arquivo
44762,Tuple2_0,ini/mei/final,arquivo diferente
44768,HttpRefresher_1,ini/mei/final,mesmo arquivo
44772,Tuple2_0,ini/mei/final,arquivo diferente
44802,RequestHandler_0,ini/mei/final,mesmo arquivo
44802,ResponseHandler_2,ini/mei/final,mesmo arquivo
44802,RequestHandler_1,ini/mei/final,mesmo arquivo
44837,CarrierRefresher_4,unique/ini,mesmo arquivo
44837,CarrierRefresher_3,ini/mei/final,mesmo arquivo
44837,CarrierRefresher_2,mei/final,mesmo arquivo
44910,RequestHandler_0,ini/mei/final,mesmo arquivo
44910,ResponseHandler_2,ini/mei/final,mesmo arquivo
44910,RequestHandler_1,ini/mei/final,mesmo arquivo
44911,CarrierRefresher_4,ini/mei/final,mesmo arquivo
44911,CarrierRefresher_2,ini/mei/final,mesmo arquivo
45435,QueryHandler_0,ini/mei/final,mesmo arquivo
45867,ResponseHandler_0,ini/mei/final,mesmo arquivo
46943,QueryHandler_0,ini/mei/final,ambos
47276,RequestHandler_0,ini/mei/final,mesmo arquivo
47405,CouchbaseNode_0,ini/mei/final,mesmo arquivo
47610,DCPHandler_1,ini/mei/final,mesmo arquivo
47855,CarrierRefresher_4,ini/mei/final,mesmo arquivo
47855,CarrierLoader_1,ini/mei/final,mesmo arquivo
47855,CarrierRefresher_2,ini/mei/final,mesmo arquivo
47855,CarrierRefresher_3,ini/mei/final,mesmo arquivo
47855,CarrierLoader_0,ini/mei/final,ambos
48005,DefaultCoreEnvironment_0,ini/mei/final,mesmo arquivo
48159,CarrierLoader_1,mei,mesmo arquivo
48159,CarrierRefresher_2,mei,mesmo arquivo
48159,CarrierRefresher_3,mei/final,mesmo arquivo
48159,Observe_16,mei/final,mesmo arquivo
48159,CarrierLoader_7,mei/final,ambos
48159,CarrierRefresher_11,mei/final,mesmo arquivo
48159,CarrierLoader_8,mei/final,mesmo arquivo
48680,AbstractDynamicService_2,ini/mei/final,arquivo diferente
48924,ViewHandler_1,mei,mesmo arquivo
49298,FixedDelay_1,unique/ini,arquivo diferente
49601,KeyValueHandler_3,ini/mei/final,mesmo arquivo
49855,KeyValueLocator_0_rev_1,mei/final,mesmo arquivo
49855,KeyValueLocator_1,unique/mei,mesmo arquivo
49938,KeyValueLocator_1,ini/mei/final,arquivo diferente
49986,QueryHandler_0,ini/mei/final,arquivo diferente
49988,QueryHandler_0,ini/mei/final,arquivo diferente
50177,KeyValueHandler_0,unique/ini,arquivo diferente
51863,RequestHandler_0,unique/ini,mesmo arquivo
51905,RequestHandler_0,unique/ini,mesmo arquivo
52219,AbstractEndpoint_0,mei/final,mesmo arquivo
52220,AbstractEndpoint_0,mei/final,mesmo arquivo
52862,AbstractDCPRequest_0,ini/mei/final,arquivo diferente
54062,KeyValueHandler_1,ini/mei/final,mesmo arquivo
54570,NetworkLatencyMetricsEvent_0,ini/mei/final,arquivo diferente
54570,ConfigUpdatedEvent_1,ini/mei/final,arquivo diferente
55327,CouchbaseCore_1,mei,mesmo arquivo
