review_number,block,block_chronology,block_position
171,ResetOperation_0,unique/ini/mei/final,mesmo arquivo
313,CheckboxLabelProvider_0,ini/mei/final,mesmo arquivo
326,GitLightweightDecorator_3,unique/mei,mesmo arquivo
358,SourceBranchPage_0,unique/ini/mei/final,arquivo diferente
358,RefSpecPage_1,unique/ini/mei/final,arquivo diferente
359,ConfirmationPage_0,unique/ini/mei/final,arquivo diferente
371,CommitDialog_2,unique/ini,arquivo diferente
395,BranchSelectionDialog_0,unique/ini/mei/final,mesmo arquivo
395,BranchSelectionDialog_1,unique/ini/mei/final,mesmo arquivo
502,RepositoryPropertySource_19,ini/mei/final,arquivo diferente
502,RepositorySelectionPage_4,ini/mei/final,mesmo arquivo
502,RepositoriesView_12,ini/mei/final,mesmo arquivo
504,RepositoryPropertySource_19,unique/final,arquivo diferente
504,RepositorySelectionPage_4,unique/final,mesmo arquivo
504,RepositoriesView_12,unique/final,mesmo arquivo
507,BranchAction_10,unique/ini,mesmo arquivo
508,GitTraceLocation_1,unique/mei,mesmo arquivo
524,CommitDialog_1,unique/ini,mesmo arquivo
524,CommitDialog_2,mei,mesmo arquivo
527,CommitAction_1,ini/mei/final,mesmo arquivo
534,PushWizard_6,ini/mei/final,arquivo diferente
534,RepositorySelectionPage_4,ini/mei/final,mesmo arquivo
534,FetchWizard_5,ini/mei/final,arquivo diferente
534,RepositoriesView_13,unique/mei,mesmo arquivo
534,RepositoriesView_18,unique/mei,mesmo arquivo
535,RepositorySelection_0,ini/mei/final,mesmo arquivo
544,BranchSelectionDialog_4,ini/mei,mesmo arquivo
544,SWTUtils_4,mei,arquivo diferente
546,CommitAction_15,unique/ini/mei/final,mesmo arquivo
546,RepositorySelection_18,unique/ini/mei/final,mesmo arquivo
549,CommitAction_0,ini/mei/final,mesmo arquivo
556,GitHistoryPage_0,unique/ini,mesmo arquivo
556,GitHistoryPage_1,unique/ini,mesmo arquivo
556,GitHistoryPage_0_rev_1,unique/final,mesmo arquivo
577,RepositoryAction_1,mei/final,mesmo arquivo
582,CommitAction_2,unique/ini/mei/final,mesmo arquivo
615,RepositoriesView_1,unique/ini,mesmo arquivo
621,RepositoriesView_2,unique/ini,mesmo arquivo
621,RepositoriesViewContentProvider_6,ini/mei/final,mesmo arquivo
621,RepositoriesView_2_rev_1,unique/mei,mesmo arquivo
621,RepositoriesView_2_rev_3,unique/final,mesmo arquivo
624,BranchOperation_0,ini/mei/final,ambos
631,RepositoriesView_5,unique/ini,mesmo arquivo
641,RepositoriesView_6,unique/ini,mesmo arquivo
647,RepositoriesView_2,ini/mei/final,mesmo arquivo
650,ProjectUtil_1,mei/final,mesmo arquivo
651,RepositoriesView_2,unique/ini/mei/final,mesmo arquivo
656,RepositoriesView_0,unique/ini/mei/final,mesmo arquivo
661,RepositoriesView_0,unique/ini/mei/final,mesmo arquivo
664,ResetAction_0,unique/ini,arquivo diferente
664,Track_1,ini/mei,arquivo diferente
664,ResetAction_2,mei/final,arquivo diferente
664,ResetAction_1,mei/final,arquivo diferente
664,Track_3_rev_2,unique/final,arquivo diferente
665,BranchSelectionDialog_6,unique/ini,mesmo arquivo
665,BranchSelectionDialog_5,ini/mei,mesmo arquivo
665,BranchSelectionDialog_6_rev_1,mei,mesmo arquivo
665,BranchSelectionDialog_3,unique/final,arquivo diferente
672,DisconnectProviderOperation_0,unique/ini/mei/final,mesmo arquivo
676,UpdateOperation_1,unique/ini/mei/final,arquivo diferente
677,RepositoriesView_0,ini/mei/final,mesmo arquivo
692,RepositoriesView_0,unique/ini/mei/final,mesmo arquivo
699,CommitDialog_2,unique/ini,ambos
703,GitCreatePatchWizard_1,unique/ini/mei/final,mesmo arquivo
713,RepositoriesView_0,unique/ini/mei/final,mesmo arquivo
714,RepositoriesView_1,mei/final,arquivo diferente
714,RepositoriesView_4,mei/final,mesmo arquivo
724,BranchSelectionDialog_6,ini/mei/final,mesmo arquivo
737,RepositorySearchDialog_4,unique/ini/mei/final,mesmo arquivo
737,RepositorySearchDialog_3,unique/ini/mei/final,arquivo diferente
737,RepositorySearchDialog_5,unique/ini/mei/final,mesmo arquivo
752,TagOperation_5,unique/ini/mei/final,arquivo diferente
752,DiscardChangesOperation_2,unique/ini/mei/final,arquivo diferente
752,ResetOperation_4,unique/ini/mei/final,arquivo diferente
752,MergeOperation_3,unique/ini/mei/final,arquivo diferente
752,CommitOperation_1,unique/ini/mei/final,arquivo diferente
752,BranchOperation_0,unique/ini/mei/final,arquivo diferente
