review_number,block,block_chronology,block_position
3,RefLogWriter_1,ini/mei/final,mesmo arquivo
33,Main_0,ini/mei/final,arquivo diferente
143,Constants_0,unique/ini/mei/final,mesmo arquivo
144,DirCache_1,unique/ini/mei/final,mesmo arquivo
144,DirCacheEntry_5,unique/ini/mei/final,mesmo arquivo
145,AbstractTreeIterator_1,unique/ini/mei/final,mesmo arquivo
152,TemporaryBuffer_3,ini/mei/final,mesmo arquivo
194,Repository_20,ini/mei/final,mesmo arquivo
234,RefAdvertiser_0,ini/mei/final,arquivo diferente
235,Repository_27,unique/ini/mei/final,mesmo arquivo
236,Repository_30,ini/mei/final,mesmo arquivo
240,TransportGitSsh_0,unique/ini/mei/final,mesmo arquivo
293,PushProcess_6,ini/mei/final,mesmo arquivo
347,PushProcess_15,ini/mei/final,mesmo arquivo
528,Repository_0,unique/ini,mesmo arquivo
705,WindowCache_1,ini/mei/final,arquivo diferente
706,WindowCursor_0,unique/ini/mei/final,mesmo arquivo
707,PackFile_1,unique/ini/mei/final,mesmo arquivo
707,PackFile_2,unique/ini/mei/final,mesmo arquivo
711,PackFile_1,unique/ini/mei/final,mesmo arquivo
759,PackFile_1,unique/ini/mei/final,mesmo arquivo
759,PackFile_0,unique/ini/mei/final,mesmo arquivo
771,IpLogGenerator_0,unique/ini/mei/final,mesmo arquivo
836,Repository_1,unique/mei,mesmo arquivo
859,Repository_8,ini/mei,mesmo arquivo
859,FileRepository_0_rev_6,unique/final,mesmo arquivo
860,CommitCommand_5,ini/mei/final,mesmo arquivo
890,MutableObjectId_3,unique/ini,mesmo arquivo
915,ObjectDirectory_6,ini/mei/final,mesmo arquivo
922,MutableObjectId_0,ini/mei/final,mesmo arquivo
973,PackFile_1,unique/ini/mei/final,mesmo arquivo
987,BasePackPushConnection_4,unique/ini/mei/final,mesmo arquivo
987,BundleWriter_6,unique/ini/mei/final,mesmo arquivo
987,PackWriter_3,unique/ini/mei/final,mesmo arquivo
996,TreeWalk_2,unique/ini/mei/final,mesmo arquivo
996,DirCacheBuilder_0,unique/ini/mei/final,mesmo arquivo
1002,DirCacheBuilder_0,unique/ini/mei/final,mesmo arquivo
1004,CommitCommand_7,unique/ini/mei/final,arquivo diferente
1004,InfoRefsServlet_0,unique/ini/mei/final,mesmo arquivo
1004,CommitCommand_5,unique/ini/mei/final,mesmo arquivo
1004,FetchProcess_19,unique/ini/mei/final,mesmo arquivo
1004,BundleFetchConnection_18,unique/ini/mei/final,mesmo arquivo
1004,FetchProcess_20,unique/ini/mei/final,mesmo arquivo
1043,DirCacheEditor_0,unique/ini/mei/final,mesmo arquivo
1048,RenameDetector_17,unique/final,mesmo arquivo
1077,RevWalk_1,unique/final,mesmo arquivo
1077,RevWalk_0,unique/final,mesmo arquivo
1085,DiffFormatter_0,ini/mei,mesmo arquivo
1085,HunkHeader_3,ini/mei/final,mesmo arquivo
1101,UnpackedObject_6,unique/ini/mei/final,mesmo arquivo
1115,DeltaCache_1,unique/ini/mei/final,mesmo arquivo
1130,RenameDetector_4,ini/mei/final,mesmo arquivo
1140,HunkHeader_27,unique/ini/mei/final,mesmo arquivo
1147,AddCommand_1,mei/final,mesmo arquivo
1152,GitIndex_1,ini/mei,arquivo diferente
1156,AbstractTreeIteratorHandler_0,unique/ini,mesmo arquivo
1171,BundleWriter_138,unique/ini/mei/final,mesmo arquivo
1171,FetchProcess_139,unique/ini/mei/final,mesmo arquivo
1171,CommitCommand_26,unique/ini/mei/final,mesmo arquivo
1171,InfoRefsServlet_0,unique/ini/mei/final,mesmo arquivo
1171,TreeWalk_149,unique/ini/mei/final,mesmo arquivo
1171,ObjectDirectory_103,unique/ini/mei/final,mesmo arquivo
1171,FetchProcess_140,unique/ini/mei/final,mesmo arquivo
1171,CommitCommand_27,unique/ini/mei/final,mesmo arquivo
1171,UploadPack_144,unique/ini/mei/final,mesmo arquivo
1171,BundleFetchConnection_136,unique/ini/mei/final,mesmo arquivo
1180,TreeWalk_0,unique/ini/mei/final,mesmo arquivo
1188,PackWriter_5,ini/mei/final,mesmo arquivo
1248,PackWriter_8,unique/ini/mei/final,mesmo arquivo
1320,PackWriter_3,mei,mesmo arquivo
1320,PackWriter_6,mei/final,mesmo arquivo
1324,PersonIdent_2,unique/ini,mesmo arquivo
1324,Tag_3,unique/mei,mesmo arquivo
1371,DiffEntry_0,unique/ini/mei/final,mesmo arquivo
1387,GitIndex_10,unique/ini/mei/final,mesmo arquivo
1387,Tree_12,unique/ini/mei/final,arquivo diferente
1389,AbstractFetchCommand_0,unique/ini/mei/final,mesmo arquivo
1389,Branch_2,unique/ini/mei/final,mesmo arquivo
1486,DiffFormatter_0,unique/ini/mei/final,mesmo arquivo
1545,ReceivePack_1,unique/ini/mei/final,mesmo arquivo
1629,ResolveMerger_1,mei/final,mesmo arquivo
