review_number,block,block_chronology,block_position
10965,BindingService_0,unique/ini,mesmo arquivo
11513,StackRenderer_2,mei/final,ambos
11686,CommandToModelProcessor_6,mei/final,arquivo diferente
11686,E4HandlerProxy_11,mei/final,arquivo diferente
11789,StackRenderer_0,unique/ini/mei/final,arquivo diferente
12027,WorkbenchMenuService_2,ini/mei/final,arquivo diferente
12028,WorkbenchMenuService_6,mei/final,arquivo diferente
12595,WorkbenchPage_0,ini/mei/final,mesmo arquivo
12596,TrimStack_1,mei/final,mesmo arquivo
12596,TrimStack_2,mei/final,mesmo arquivo
12596,TrimStack_3,mei/final,mesmo arquivo
12596,TrimStack_4,mei/final,mesmo arquivo
12596,TrimStack_5,mei/final,mesmo arquivo
12596,TrimStack_6,mei/final,mesmo arquivo
12779,CoolBarToTrimManager_0,ini/mei/final,arquivo diferente
12784,SaveableHelper_0,ini/mei/final,mesmo arquivo
12784,WorkbenchPage_6,ini/mei/final,arquivo diferente
12784,WorkbenchPage_7,ini/mei/final,arquivo diferente
12784,WorkbenchPage_8,ini/mei/final,arquivo diferente
12819,CoolBarToTrimManager_0,mei,mesmo arquivo
12819,CoolBarToTrimManager_1,mei,arquivo diferente
12840,StackRenderer_1,ini/mei/final,arquivo diferente
12840,StackRenderer_2,ini/mei/final,arquivo diferente
12840,StackRenderer_3,ini/mei/final,arquivo diferente
13052,WorkbenchWindow_0,mei,arquivo diferente
13056,PartServiceImpl_1,ini/mei/final,mesmo arquivo
13086,SaveableHelper_2,unique/ini/mei/final,mesmo arquivo
13086,WorkbenchPage_8,unique/ini/mei/final,arquivo diferente
13086,WorkbenchPage_9,unique/ini/mei/final,arquivo diferente
14093,DirectContributionItem_0,unique/ini,arquivo diferente
14093,ToolItemRenderer_1,unique/ini,arquivo diferente
14093,DirectContributionItem_0_rev_1,mei/final,arquivo diferente
14093,ToolItemRenderer_1_rev_1,mei/final,arquivo diferente
14748,WorkbookEditorsHandler_1,ini/mei/final,mesmo arquivo
15259,ViewerCell_1,mei/final,ambos
15981,ToolbarThemeProcessor_1,ini/mei,arquivo diferente
15981,ToolbarThemeProcessor_2,ini/mei,arquivo diferente
16068,TasksView_6,mei/final,arquivo diferente
16191,MinMaxAddon_2,ini/mei/final,mesmo arquivo
16191,MinMaxAddon_4,ini/mei/final,mesmo arquivo
16191,MinMaxAddon_6,ini/mei/final,mesmo arquivo
16301,StructuredViewer_1,mei,mesmo arquivo
16301,StructuredViewer_2,mei,mesmo arquivo
16719,WorkbenchPartReference_0,ini/mei,mesmo arquivo
16719,AbstractCSSEngine_0,unique/mei,mesmo arquivo
16726,IDEWorkspacePreferencePage_0,ini/mei,ambos
16726,IDEWorkspacePreferencePage_0_rev_4,mei/final,ambos
16849,WorkbenchThemeManager_0,unique/ini/mei/final,mesmo arquivo
16849,WorkbenchThemeManager_1,unique/ini/mei/final,mesmo arquivo
16881,WorkbenchThemeManager_1,unique/ini,mesmo arquivo
