block18.java_method#1#7,/home/gesad/PycharmProjects/Diff/befores/platform.ui/before_87434_1/bundles/org.eclipse.ui.workbench/Eclipse UI/org/eclipse/ui/internal/testing/WorkbenchTestable.java_run#61#77,/home/gesad/PycharmProjects/Diff/befores/platform.ui/before_87434_1/bundles/org.eclipse.ui.workbench/Eclipse UI/org/eclipse/ui/internal/testing/WorkbenchTestable.java_init#53#81
block5.java_method#1#13,/home/gesad/PycharmProjects/Diff/befores/platform.ui/before_87434_1/bundles/org.eclipse.ui.workbench/Eclipse UI/org/eclipse/ui/internal/dialogs/WorkbenchWizardNode.java_run#139#153,/home/gesad/PycharmProjects/Diff/befores/platform.ui/before_87434_1/bundles/org.eclipse.ui.workbench/Eclipse UI/org/eclipse/ui/internal/dialogs/WorkbenchWizardNode.java_run#122#155,/home/gesad/PycharmProjects/Diff/befores/platform.ui/before_87434_1/bundles/org.eclipse.ui.workbench/Eclipse UI/org/eclipse/ui/internal/dialogs/WorkbenchWizardNode.java_getWizard#111#180
block4.java_method#1#13,/home/gesad/PycharmProjects/Diff/befores/platform.ui/before_87434_1/bundles/org.eclipse.ui.workbench/Eclipse UI/org/eclipse/ui/internal/dialogs/WorkbenchWizardNode.java_run#122#155,/home/gesad/PycharmProjects/Diff/befores/platform.ui/before_87434_1/bundles/org.eclipse.ui.workbench/Eclipse UI/org/eclipse/ui/internal/dialogs/WorkbenchWizardNode.java_getWizard#111#180
block1.java_method#1#12,/home/gesad/PycharmProjects/Diff/befores/platform.ui/before_87434_1/bundles/org.eclipse.ui.workbench/Eclipse UI/org/eclipse/ui/actions/RetargetAction.java_RetargetAction#80#99
block3.java_method#1#8,/home/gesad/PycharmProjects/Diff/befores/platform.ui/before_87434_1/bundles/org.eclipse.ui.workbench/Eclipse UI/org/eclipse/ui/internal/dialogs/WorkbenchPreferenceManager.java_registryChanged#57#68,/home/gesad/PycharmProjects/Diff/befores/platform.ui/before_87434_1/bundles/org.eclipse.ui.workbench/Eclipse UI/org/eclipse/ui/internal/dialogs/WorkbenchPreferenceManager.java_WorkbenchPreferenceManager#47#70
block20.java_method#1#8,/home/gesad/PycharmProjects/Diff/befores/platform.ui/before_87434_1/bundles/org.eclipse.ui.workbench/Eclipse UI/org/eclipse/ui/internal/themes/WorkbenchThemeManager.java_propertyChange#91#101
block7.java_method#1#10,/home/gesad/PycharmProjects/Diff/befores/platform.ui/before_87434_1/bundles/org.eclipse.ui.workbench/Eclipse UI/org/eclipse/ui/internal/services/WorkbenchServiceRegistry.java_compare#252#263,/home/gesad/PycharmProjects/Diff/befores/platform.ui/before_87434_1/bundles/org.eclipse.ui.workbench/Eclipse UI/org/eclipse/ui/internal/services/WorkbenchServiceRegistry.java_removeExtension#243#280
block14.java_method#1#42,/home/gesad/PycharmProjects/Diff/befores/platform.ui/before_87434_1/bundles/org.eclipse.ui.workbench/Eclipse UI/org/eclipse/ui/internal/services/WorkbenchSourceProvider.java_handleEvent#670#857
block11.java_method#1#19,/home/gesad/PycharmProjects/Diff/befores/platform.ui/before_87434_1/bundles/org.eclipse.ui.workbench/Eclipse UI/org/eclipse/ui/internal/services/WorkbenchSourceProvider.java_updateActiveShell#903#972,/home/gesad/PycharmProjects/Diff/befores/platform.ui/before_87434_1/bundles/org.eclipse.ui.workbench/Eclipse UI/org/eclipse/ui/internal/services/WorkbenchSourceProvider.java_handleEvent#670#857
block17.java_method#1#8,/home/gesad/PycharmProjects/Diff/befores/platform.ui/before_87434_1/bundles/org.eclipse.ui.workbench/Eclipse UI/org/eclipse/ui/internal/services/WorkbenchSourceProvider.java_handleEvent#670#857
block10.java_method#1#7,/home/gesad/PycharmProjects/Diff/befores/platform.ui/before_87434_1/bundles/org.eclipse.ui.workbench/Eclipse UI/org/eclipse/ui/internal/services/WorkbenchSourceProvider.java_handleEvent#670#857
block9.java_method#1#6,/home/gesad/PycharmProjects/Diff/befores/platform.ui/before_87434_1/bundles/org.eclipse.ui.workbench/Eclipse UI/org/eclipse/ui/internal/services/WorkbenchSourceProvider.java_handleEvent#670#857
block16.java_method#1#7,/home/gesad/PycharmProjects/Diff/befores/platform.ui/before_87434_1/bundles/org.eclipse.ui.workbench/Eclipse UI/org/eclipse/ui/internal/services/WorkbenchSourceProvider.java_handleEvent#670#857
block15.java_method#1#11,/home/gesad/PycharmProjects/Diff/befores/platform.ui/before_87434_1/bundles/org.eclipse.ui.workbench/Eclipse UI/org/eclipse/ui/internal/services/WorkbenchSourceProvider.java_handleEvent#670#857
block2.java_method#1#8,/home/gesad/PycharmProjects/Diff/befores/platform.ui/before_87434_1/bundles/org.eclipse.ui.ide/src/org/eclipse/ui/internal/ide/IDEWorkbenchPlugin.java_createExtension#120#141
block12.java_method#1#45,/home/gesad/PycharmProjects/Diff/befores/platform.ui/before_87434_1/bundles/org.eclipse.ui.workbench/Eclipse UI/org/eclipse/ui/internal/services/WorkbenchSourceProvider.java_handleEvent#670#857
block13.java_method#1#14,/home/gesad/PycharmProjects/Diff/befores/platform.ui/before_87434_1/bundles/org.eclipse.ui.workbench/Eclipse UI/org/eclipse/ui/internal/services/WorkbenchSourceProvider.java_handleEvent#670#857
