review_number,clone_exists
11287,no_clone
12027,no_clone
12050,no_clone
12051,no_clone
12096,no_clone
12144,no_clone
12148,no_clone
12149,no_clone
12150,uninteresting_clone
12151,no_clone
12159,no_clone
12160,no_clone
12285,no_clone
12384,no_clone
12554,no_clone
12557,no_clone
12561,no_clone
12576,no_clone
12577,no_clone
12578,no_clone
12580,no_clone
12582,no_clone
12583,no_clone
12674,no_clone
12687,no_clone
12688,no_clone
12689,no_clone
12690,no_clone
12841,no_clone
12907,review with at least one clone
13046,no_clone
13082,no_clone
13083,no_clone
13085,no_clone
13372,no_clone
13373,no_clone
13374,no_clone
13375,no_clone
13394,no_clone
13688,no_clone
13846,no_clone
13847,no_clone
13848,no_clone
13849,no_clone
14157,no_clone
14178,no_clone
14485,no_clone
14513,no_clone
14527,no_clone
14562,no_clone
14574,no_clone
14586,no_clone
14959,review with at least one clone
15435,no_clone
15436,no_clone
15462,no_clone
15953,no_clone
15954,no_clone
15955,no_clone
15956,no_clone
15957,no_clone
15958,no_clone
16337,no_clone
16338,no_clone
16702,no_clone
16703,no_clone
16765,no_clone
17742,no_clone
18094,no_clone
18194,no_clone
18197,no_clone
18654,no_clone
18655,no_clone
18755,no_clone
18757,no_clone
18758,no_clone
18807,no_clone
18808,no_clone
19008,no_clone
19012,no_clone
19017,no_clone
19018,no_clone
19051,no_clone
19067,no_clone
19068,no_clone
19373,no_clone
19584,review with at least one clone
19602,no_clone
19603,review with at least one clone
19604,no_clone
19605,no_clone
19606,review with at least one clone
19673,no_clone
19674,no_clone
19675,no_clone
19676,no_clone
19677,no_clone
19690,no_clone
19691,no_clone
19692,no_clone
19693,no_clone
19694,no_clone
19758,no_clone
19778,no_clone
19838,no_clone
19839,no_clone
19840,uninteresting_clone
19860,no_clone
19861,no_clone
19862,no_clone
19920,no_clone
19997,no_clone
19998,no_clone
20008,no_clone
20010,no_clone
20329,no_clone
20398,no_clone
20399,no_clone
20654,no_clone
20711,no_clone
20712,no_clone
20760,no_clone
20779,no_clone
20780,no_clone
20817,no_clone
20847,no_clone
20878,uninteresting_clone
20889,no_clone
20895,no_clone
20898,uninteresting_clone
20902,no_clone
20903,no_clone
20906,review with at least one clone
20917,no_clone
20918,no_clone
21130,no_clone
21156,no_clone
21157,no_clone
21197,no_clone
21202,no_clone
21217,no_clone
21219,no_clone
21261,review with at least one clone
21292,uninteresting_clone
21293,no_clone
21294,no_clone
21301,no_clone
21305,uninteresting_clone
21337,no_clone
21338,no_clone
21351,no_clone
21353,no_clone
21354,no_clone
21355,no_clone
21356,no_clone
21372,no_clone
21380,no_clone
21416,uninteresting_clone
21417,no_clone
21421,no_clone
21423,no_clone
21444,no_clone
21445,no_clone
21446,no_clone
21477,no_clone
21500,no_clone
21738,no_clone
21743,no_clone
21805,no_clone
21826,no_clone
21827,no_clone
21852,no_clone
21867,no_clone
21872,no_clone
21912,no_clone
21915,no_clone
21924,no_clone
22015,no_clone
22048,review with at least one clone
22057,no_clone
22058,no_clone
22109,no_clone
22206,no_clone
22308,review with at least one clone
22352,no_clone
22353,no_clone
22445,review with at least one clone
22505,no_clone
22513,no_clone
22563,review with at least one clone
22586,no_clone
22589,no_clone
22692,no_clone
22710,no_clone
22713,no_clone
22737,no_clone
22755,no_clone
22845,no_clone
22872,no_clone
22874,no_clone
22877,no_clone
22878,no_clone
22902,no_clone
22923,no_clone
22933,no_clone
22936,no_clone
22973,no_clone
22975,no_clone
22998,uninteresting_clone
23000,no_clone
23021,uninteresting_clone
23086,no_clone
23087,no_clone
23088,no_clone
23090,no_clone
23121,no_clone
23153,no_clone
23156,no_clone
23157,no_clone
23189,no_clone
23194,no_clone
23605,uninteresting_clone
23648,no_clone
23658,no_clone
23801,no_clone
23850,no_clone
23942,no_clone
23977,no_clone
23986,no_clone
23989,review with at least one clone
23990,no_clone
24011,no_clone
24019,no_clone
24046,no_clone
24048,no_clone
24092,no_clone
24151,no_clone
24156,no_clone
24182,no_clone
24261,no_clone
24299,no_clone
24322,no_clone
24342,no_clone
24343,no_clone
24406,no_clone
24407,no_clone
24520,no_clone
24652,no_clone
24658,no_clone
24661,no_clone
24689,no_clone
24750,review with at least one clone
24767,no_clone
24770,no_clone
24817,no_clone
24818,review with at least one clone
24867,no_clone
24886,no_clone
24888,no_clone
24935,review with at least one clone
24989,no_clone
